parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
p_unsafe_funeral_hosp,6,64,0.6363636363636365,227.18181818181822,0.014751389082253333,0.014744519000000001,0.004359328330408177,0.007329128495,0.0218479105
delay_hosp,1,65,0.6464646464646465,230.7878787878788,3.6994268293,3.68550975,0.24804887608989382,3.317763465,4.1288018399999995
p_hosp,2,65,0.6464646464646465,230.7878787878788,0.6425650723083334,0.64165398,0.030024170274482412,0.5950478044999999,0.6917339905
p_ETU,3,65,0.6464646464646465,230.7878787878788,0.45009689242833334,0.447640375,0.06971188506560297,0.344816067,0.566456727
latent_IPC,4,65,0.6464646464646465,230.7878787878788,0.4150222313395,0.408408065,0.10256554810831017,0.2626893655,0.5968653610000001
p_unsafe_funeral_comm,5,65,0.6464646464646465,230.7878787878788,0.48620456472333334,0.482089375,0.07581792748957342,0.371233407,0.6135029855
p_unsafe_funeral_hosp,6,65,0.6464646464646465,230.7878787878788,0.01412794407641,0.0141687235,0.004296784150256614,0.00674171404,0.0210626376
delay_hosp,1,66,0.6565656565656566,234.3939393939394,3.6501295245333334,3.6384677,0.24811556410822258,3.269237975,4.075750935
p_hosp,2,66,0.6565656565656566,234.3939393939394,0.6551273287183333,0.654174795,0.029977659902798087,0.6084851210000001,0.705274599
p_ETU,3,66,0.6565656565656566,234.3939393939394,0.4732255994733333,0.47102745,0.07131463592335932,0.3647989655,0.5933089650000001
latent_IPC,4,66,0.6565656565656566,234.3939393939394,0.4399639327716667,0.43092185,0.10751309346262145,0.28240398149999996,0.6366650855
p_unsafe_funeral_comm,5,66,0.6565656565656566,234.3939393939394,0.46345170262,0.45917860499999996,0.07453835055097682,0.349965939,0.5887711835
p_unsafe_funeral_hosp,6,66,0.6565656565656566,234.3939393939394,0.013511065921865,0.013567787500000001,0.004231453949835382,0.006182828929999999,0.0202811409
delay_hosp,1,67,0.6666666666666667,238.00000000000003,3.60067812655,3.59060655,0.24835913609075977,3.210816035,4.0215897
p_hosp,2,67,0.6666666666666667,238.00000000000003,0.6675980832216667,0.66650882,0.030161880210873033,0.6214477644999999,0.7187727174999999
p_ETU,3,67,0.6666666666666667,238.00000000000003,0.49617488220166667,0.49411211499999996,0.07266041823301113,0.3846499715,0.617859151
latent_IPC,4,67,0.6666666666666667,238.00000000000003,0.464593314479,0.45426779500000003,0.1116551956108118,0.301256941,0.6687427015
p_unsafe_funeral_comm,5,67,0.6666666666666667,238.00000000000003,0.44081789611766664,0.43652722,0.07332628837226926,0.32988886250000005,0.5646474960000001
