"set_id","particle","R0","prop_funeral","hcw_risk_scalar","mn_offspring_genPop","mn_offspring_funeral","prob_hcw_cond_genPop_hospital","prob_hcw_cond_hcw_hospital"
25,402,1.57934456231626,0.248598268421694,3.65908153778127,1.20622888196302,0.756850622736815,0.914770384445318,0.914770384445318
26,193,1.59703231366428,0.270061494525845,2.70494848214429,1.18489705365502,0.831402936542034,0.676237120536073,0.676237120536073
27,499,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
28,326,1.56339532138756,0.231196507822488,3.4125803714963,1.22170062861324,0.69676329080078,0.853145092874075,0.853145092874075
29,492,1.60218356269159,0.242242588444624,2.86353968116576,1.23402258077911,0.74816597604135,0.71588492029144,0.71588492029144
30,616,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
31,465,1.63704078233153,0.295615838825639,2.50575248557309,1.17205967075871,0.93287269612695,0.626438121393272,0.626438121393272
32,525,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
33,176,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
34,110,1.59644611954652,0.262789818816772,2.75592370883095,1.19626179239971,0.80871963009546,0.688980927207738,0.688980927207738
35,29,1.56654510859299,0.217692694738828,3.60412042313585,1.24566405514129,0.657388260226315,0.901030105783962,0.901030105783962
36,252,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
37,620,1.63704078233153,0.295615838825639,2.50575248557309,1.17205967075871,0.93287269612695,0.626438121393272,0.626438121393272
38,545,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
39,661,1.56049859799219,0.220868232091929,2.54503728793557,1.23581919709776,0.664403362308612,0.636259321983892,0.636259321983892
40,614,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
41,329,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
42,630,1.53907897806288,0.212531316489333,2.296588384021,1.23189825440908,0.630549263152284,0.57414709600525,0.57414709600525
43,619,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
44,490,1.51059506899804,0.161957828438058,3.54178456807722,1.28675118906736,0.471612374146007,0.885446142019305,0.885446142019305
45,103,1.5459921691313,0.191307502545309,3.09891645656964,1.27078285193762,0.570130763751091,0.77472911414241,0.77472911414241
46,51,1.62900248403029,0.270940694475382,3.98768860443364,1.20716113886439,0.850807226565134,0.99692215110841,0.99692215110841
47,290,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
48,129,1.52703468451273,0.187517755697822,3.73038387555155,1.26108227749149,0.551983990641581,0.932595968887888,0.932595968887888
49,282,1.59310604449368,0.221493953051607,3.50417459359172,1.26062906987029,0.680208012523256,0.87604364839793,0.87604364839793
50,442,1.61166319560664,0.26497869053385,3.43819524710883,1.20407866306719,0.823228546569269,0.859548811777208,0.859548811777208
51,682,1.55809596362669,0.226851968531261,3.31712181285971,1.22443997255032,0.681352633081951,0.829280453214927,0.829280453214927
52,501,1.53907897806288,0.212531316489333,2.296588384021,1.23189825440908,0.630549263152284,0.57414709600525,0.57414709600525
53,511,1.60911348568795,0.249968137695743,3.72672638890089,1.22672447378761,0.77536557137903,0.931681597225222,0.931681597225222
54,536,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
55,214,1.4711853743956,0.136166228815507,3.46057358230487,1.29174925384062,0.386164184833117,0.865143395576218,0.865143395576218
56,339,1.55643204975687,0.201542975703925,3.16889164799987,1.26317160054218,0.604690318666372,0.792222911999968,0.792222911999968
57,675,1.50238235394978,0.169439472808562,3.43785321724532,1.26833040357929,0.49071603477764,0.85946330431133,0.85946330431133
58,1,1.55210525437256,0.217166840040331,3.96915679573677,1.23501156581171,0.649755351363351,0.992289198934193,0.992289198934193
59,590,1.52703468451273,0.187517755697822,3.73038387555155,1.26108227749149,0.551983990641581,0.932595968887888,0.932595968887888
60,628,1.60778917020708,0.260675866376796,3.15060127488658,1.20821611511859,0.807913952683635,0.787650318721645,0.787650318721645
61,293,1.63761850287873,0.281252183014107,3.33760283478538,1.1963821294004,0.887858634269555,0.834400708696345,0.834400708696345
