parameter,param_id,grid_id,tau,relative_day,mean,median,sd,q5,q95
p_hosp,2,41,0.4040404040404041,144.24242424242425,0.4339404921616667,0.43397005,0.052971350258560444,0.348118252,0.5199640385000001
p_ETU,3,41,0.4040404040404041,144.24242424242425,0.13886709842628334,0.12693723,0.07114957465092642,0.044303743650000005,0.27243484949999996
latent_IPC,4,41,0.4040404040404041,144.24242424242425,0.11871897032421834,0.10479428,0.07324772126369719,0.0276513462,0.265165714
p_unsafe_funeral_comm,5,41,0.4040404040404041,144.24242424242425,0.641305337483,0.6463142500000001,0.1504378314301177,0.351209677,0.877733431
p_unsafe_funeral_hosp,6,41,0.4040404040404041,144.24242424242425,0.023465937941816666,0.023347645,0.004669381362411373,0.016061599649999998,0.031262234300000004
delay_hosp,1,42,0.4141414141414142,147.84848484848487,4.516608178033334,4.4995923,0.20925989630711264,4.204792115,4.8830112450000005
p_hosp,2,42,0.4141414141414142,147.84848484848487,0.4394734357233333,0.43930492,0.05287422601151213,0.3537241745,0.5256525489999999
p_ETU,3,42,0.4141414141414142,147.84848484848487,0.14419946366563333,0.13247635,0.07222428586483347,0.048099205199999995,0.2799199445
latent_IPC,4,42,0.4141414141414142,147.84848484848487,0.12273386864925,0.10843963000000001,0.0747340534132799,0.0297593955,0.27207181950000003
p_unsafe_funeral_comm,5,42,0.4141414141414142,147.84848484848487,0.6308257251613333,0.636268785,0.1522233593706821,0.335692378,0.870205538
p_unsafe_funeral_hosp,6,42,0.4141414141414142,147.84848484848487,0.023176647233016667,0.0230435635,0.004700625513281839,0.015749019,0.0310323797
delay_hosp,1,43,0.42424242424242425,151.45454545454547,4.4883808306,4.47128355,0.21243587338058634,4.174541855,4.8617766499999995
p_hosp,2,43,0.42424242424242425,151.45454545454547,0.445273610985,0.445076535,0.0527109190084858,0.359389845,0.5313959775000001
p_ETU,3,43,0.42424242424242425,151.45454545454547,0.14992968812253332,0.1384669,0.07325881288877936,0.05227429125,0.287525403
latent_IPC,4,43,0.42424242424242425,151.45454545454547,0.12705494774606665,0.112573475,0.07623923457482772,0.0319652414,0.27958660050000006
p_unsafe_funeral_comm,5,43,0.42424242424242425,151.45454545454547,0.6201326707838334,0.6259150600000001,0.15378194257232652,0.3214915465,0.8621228225
p_unsafe_funeral_hosp,6,43,0.42424242424242425,151.45454545454547,0.0228746838422,0.022743183,0.004730665384244761,0.01547814845,0.03081121635
delay_hosp,1,44,0.43434343434343436,155.06060606060606,4.459372899633333,4.4410304499999995,0.2155905402131742,4.142604635,4.838644985
p_hosp,2,44,0.43434343434343436,155.06060606060606,0.451351784515,0.45086575500000003,0.05247121082157933,0.3659067535,0.537197554
p_ETU,3,44,0.43434343434343436,155.06060606060606,0.15609154669411668,0.144359945,0.07423791865110783,0.056666862799999995,0.2956162475
latent_IPC,4,44,0.43434343434343436,155.06060606060606,0.13171148660488333,0.11655515999999999,0.07775500807742136,0.03438405954999999,0.28699357750000004
p_unsafe_funeral_comm,5,44,0.43434343434343436,155.06060606060606,0.6092454220368333,0.614826225,0.15517140432181828,0.3066196215,0.8535448370000001
p_unsafe_funeral_hosp,6,44,0.43434343434343436,155.06060606060606,0.0225595405429,0.02242106,0.004759150343086492,0.015156653,0.03058400445
delay_hosp,1,45,0.4444444444444445,158.66666666666669,4.4295745112,4.4110818,0.2187016436327936,4.109171515,4.81464211
p_hosp,2,45,0.4444444444444445,158.66666666666669,0.457718388615,0.457114195,0.05214463649953176,0.373207851,0.5425032235
p_ETU,3,45,0.4444444444444445,158.66666666666669,0.1627215037604,0.15020333,0.07514436325900894,0.06205667865,0.30365449549999995
latent_IPC,4,45,0.4444444444444445,158.66666666666669,0.13673616579306666,0.121489865,0.07927112432494816,0.037137443299999996,0.2943592185
p_unsafe_funeral_comm,5,45,0.4444444444444445,158.66666666666669,0.5982009232991666,0.60470568,0.15634026003553558,0.2920491855,0.8441167254999999
p_unsafe_funeral_hosp,6,45,0.4444444444444445,158.66666666666669,0.022230713527866666,0.0220635585,0.004785820172564781,0.01481914345,0.030284572849999997
delay_hosp,1,46,0.4545454545454546,162.27272727272728,4.39897799505,4.3802714,0.22174955151890346,4.075576475,4.79113734
p_hosp,2,46,0.4545454545454546,162.27272727272728,0.46438332328,0.464098285,0.051720714113822897,0.3798464985,0.5486024249999999
p_ETU,3,46,0.4545454545454546,162.27272727272728,0.16985878445416666,0.157119825,0.0759588336782537,0.0679557874,0.31209522450000005
latent_IPC,4,46,0.4545454545454546,162.27272727272728,0.14216555892866667,0.126547355,0.08077485288087217,0.04025645995,0.303314114
p_unsafe_funeral_comm,5,46,0.4545454545454546,162.27272727272728,0.5870060729785,0.593743855,0.1572483890342732,0.2790719905,0.8352268625
p_unsafe_funeral_hosp,6,46,0.4545454545454546,162.27272727272728,0.021887705517116666,0.021736178000000002,0.0048104407267750525,0.014431445749999999,0.0300061112
delay_hosp,1,47,0.4646464646464647,165.8787878787879,4.367578302516667,4.34719945,0.22471741928118275,4.03986495,4.763611775
p_hosp,2,47,0.4646464646464647,165.8787878787879,0.4713557158316667,0.47107992,0.05118928526759206,0.38846751749999997,0.5545466565
p_ETU,3,47,0.4646464646464647,165.8787878787879,0.17754538566766667,0.1647064,0.07665997440936845,0.0738600281,0.32100878099999997
latent_IPC,4,47,0.4646464646464647,165.8787878787879,0.14804071602555,0.13246940499999998,0.08225038326110201,0.04329234715,0.3117836175000001
p_unsafe_funeral_comm,5,47,0.4646464646464647,165.8787878787879,0.5756882085505,0.58178056,0.15789736004444044,0.266138601,0.8251020705000001
p_unsafe_funeral_hosp,6,47,0.4646464646464647,165.8787878787879,0.02153001255515,0.021384072,0.004832756459303708,0.01397668595,0.029712799050000002
delay_hosp,1,48,0.4747474747474748,169.4848484848485,4.3353733918,4.31422555,0.22759086151659044,4.00171926,4.737673705000001
p_hosp,2,48,0.4747474747474748,169.4848484848485,0.47864363324666664,0.47821221999999997,0.050540993600351115,0.39664677000000004,0.560559926
p_ETU,3,48,0.4747474747474748,169.4848484848485,0.18582600102855,0.17314317499999998,0.07722457878944322,0.08111471879999999,0.3303420845
latent_IPC,4,48,0.4747474747474748,169.4848484848485,0.15440785772836665,0.138557855,0.08367812815098515,0.04726055,0.32075190350000005
p_unsafe_funeral_comm,5,48,0.4747474747474748,169.4848484848485,0.5642839713896334,0.57042146,0.15824231320328058,0.25589037600000003,0.81419038
p_unsafe_funeral_hosp,6,48,0.4747474747474748,169.4848484848485,0.021157123916033332,0.0209922735,0.004852643679717184,0.01356360045,0.0293711524
delay_hosp,1,49,0.48484848484848486,173.0909090909091,4.3023645943,4.2810235500000005,0.23035704713781527,3.9649715800000003,4.7098154899999995
p_hosp,2,49,0.48484848484848486,173.0909090909091,0.486253740065,0.48570846,0.049767933194386535,0.405845112,0.5668236080000001
p_ETU,3,49,0.48484848484848486,173.0909090909091,0.19474782328441667,0.18249258000000002,0.07762802640151215,0.08898642090000002,0.3395805585
latent_IPC,4,49,0.48484848484848486,173.0909090909091,0.16131920124998333,0.14528833,0.08503398608654782,0.05117808735,0.329434415
p_unsafe_funeral_comm,5,49,0.48484848484848486,173.0909090909091,0.5528250188003333,0.559274015,0.15823718200606124,0.2447862145,0.802994945
p_unsafe_funeral_hosp,6,49,0.48484848484848486,173.0909090909091,0.020768646860266665,0.020574254,0.004870704831048258,0.013147690950000002,0.029028068850000005
delay_hosp,1,50,0.494949494949495,176.69696969696972,4.268556871483334,4.2446676,0.233003465898729,3.9316457849999997,4.682051294999999
p_hosp,2,50,0.494949494949495,176.69696969696972,0.49419089809833333,0.49353992,0.048864487834514976,0.41645140399999997,0.573284141
p_ETU,3,50,0.494949494949495,176.69696969696972,0.20436017685683333,0.19236951,0.0778450923374154,0.09823375705000001,0.349681589
latent_IPC,4,50,0.494949494949495,176.69696969696972,0.16883393098795,0.152579915,0.08628869944061979,0.0563629571,0.3398278940000001
p_unsafe_funeral_comm,5,50,0.494949494949495,176.69696969696972,0.541300865133,0.547676155,0.15781956018608803,0.23324348150000002,0.7918077175
p_unsafe_funeral_hosp,6,50,0.494949494949495,176.69696969696972,0.020364682383383334,0.020177946,0.004888774730810859,0.012628433499999998,0.0286623566
delay_hosp,1,51,0.5050505050505051,180.3030303030303,4.2339589710166665,4.2097028000000005,0.23551700248356347,3.89324345,4.655386335
p_hosp,2,51,0.5050505050505051,180.3030303030303,0.50245770333,0.5017670249999999,0.047828400885260844,0.42627572350000004,0.5799437285000001
p_ETU,3,51,0.5050505050505051,180.3030303030303,0.2147139179785,0.202598275,0.07785135618465228,0.1072447405,0.35943734150000006
latent_IPC,4,51,0.5050505050505051,180.3030303030303,0.17701930941606667,0.16034514500000002,0.08740757985307791,0.06296131555,0.349891178
p_unsafe_funeral_comm,5,51,0.5050505050505051,180.3030303030303,0.52968712740495,0.536354475,0.1569946808516731,0.223851456,0.7782815510000001
p_unsafe_funeral_hosp,6,51,0.5050505050505051,180.3030303030303,0.019946190000433333,0.0197537775,0.004908502207590158,0.01220964095,0.0282562105
delay_hosp,1,52,0.5151515151515152,183.90909090909093,4.19858350375,4.1743903,0.23788390919399896,3.854667875,4.62721562
p_hosp,2,52,0.5151515151515152,183.90909090909093,0.5110539567633333,0.51047102,0.04666212134263042,0.43716742449999996,0.5872114695
p_ETU,3,52,0.5151515151515152,183.90909090909093,0.2258605036755,0.21379510499999999,0.07762565874753923,0.11871369,0.37022463050000004
latent_IPC,4,52,0.5151515151515152,183.90909090909093,0.18595188514083333,0.168969025,0.08835111537311523,0.0716011661,0.359887687
p_unsafe_funeral_comm,5,52,0.5151515151515152,183.90909090909093,0.5179699814975334,0.5248970399999999,0.15577815557216246,0.21742382300000002,0.7652938215
p_unsafe_funeral_hosp,6,52,0.5151515151515152,183.90909090909093,0.019514657693266668,0.0193484965,0.004928658845475487,0.011666653950000001,0.02788314855
delay_hosp,1,53,0.5252525252525253,187.51515151515153,4.16244700545,4.1382989,0.24009088210628743,3.8146233350000003,4.599376355
p_hosp,2,53,0.5252525252525253,187.51515151515153,0.5199760708883333,0.5193998150000001,0.04537445855060142,0.44806769199999996,0.594263349
p_ETU,3,53,0.5252525252525253,187.51515151515153,0.23785056484566666,0.226130315,0.07715449076772607,0.1310283535,0.3801563145
latent_IPC,4,53,0.5252525252525253,187.51515151515153,0.19571866956891668,0.179211705,0.08907738080629923,0.0786742391,0.3697022525
p_unsafe_funeral_comm,5,53,0.5252525252525253,187.51515151515153,0.5061430677047166,0.5135400800000001,0.15417944998762834,0.20870841950000002,0.750450898
p_unsafe_funeral_hosp,6,53,0.5252525252525253,187.51515151515153,0.019071234179966666,0.0189143565,0.0049457545575956885,0.010999212500000001,0.02742940575
delay_hosp,1,54,0.5353535353535354,191.12121212121212,4.125570062216667,4.10051215,0.24212671608767777,3.7770733050000005,4.567428125
