"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost","obv_efficacy","obv_coverage"
"DRC",22,7,"cov10_obv50",5,1170.08042907005,7,2,1614.98887593302,0.5,0.1
"DRC",22,8,"cov10_obv50",9,1227.18105430035,9,0,1227.18105430035,0.5,0.1
"DRC",22,9,"cov10_obv50",174,33440.4829419888,183,9,34736.9907593897,0.5,0.1
"DRC",22,10,"cov10_obv50",5,1093.39875489866,5,0,1093.39875489866,0.5,0.1
"DRC",23,1,"cov10_obv50",117,98649.2879197287,124,7,104306.362483961,0.5,0.1
"DRC",24,1,"cov10_obv50",8,1705.45432203923,10,2,1931.32488711553,0.5,0.1
"DRC",25,1,"cov10_obv50",12,1114.26094758598,15,3,1278.32351146074,0.5,0.1
"DRC",25,2,"cov10_obv50",0,0,0,0,0,0.5,0.1
"DRC",25,3,"cov10_obv50",131,79885.4421901747,143,12,86559.5426882061,0.5,0.1
"DRC",25,4,"cov10_obv50",4,310.073559301322,4,0,310.073559301322,0.5,0.1
"DRC",25,5,"cov10_obv50",12,2244.05311886938,12,0,2244.05311886938,0.5,0.1
"DRC",25,6,"cov10_obv50",182,73629.6729089179,190,8,78342.3961536322,0.5,0.1
"DRC",25,7,"cov10_obv50",76,63175.6715906454,82,6,66965.8143430869,0.5,0.1
"DRC",25,8,"cov10_obv50",177,119159.222838275,185,8,125047.947606167,0.5,0.1
"DRC",25,9,"cov10_obv50",11,972.624171729121,11,0,1039.48396153829,0.5,0.1
"DRC",25,10,"cov10_obv50",4,617.352414215975,4,0,617.352414215975,0.5,0.1
"DRC",26,1,"cov10_obv50",42,19214.6121001315,44,2,20280.3608739147,0.5,0.1
"DRC",26,2,"cov10_obv50",35,27606.587515489,37,2,28878.0355310689,0.5,0.1
"DRC",26,3,"cov10_obv50",161,99212.3543814802,171,10,103843.382273249,0.5,0.1
"DRC",26,4,"cov10_obv50",6,839.216289925796,6,0,839.216289925796,0.5,0.1
"DRC",26,5,"cov10_obv50",213,61872.8551667159,223,10,63798.2753900532,0.5,0.1
"DRC",26,6,"cov10_obv50",96,31859.7386987348,105,9,34881.964110092,0.5,0.1
"DRC",26,7,"cov10_obv50",96,31859.7386987348,105,9,34881.964110092,0.5,0.1
"DRC",26,8,"cov10_obv50",76,50844.3401223752,82,6,54362.7821375459,0.5,0.1
"DRC",26,9,"cov10_obv50",27,6477.77658817672,28,1,6620.47337083001,0.5,0.1
