"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",3,8,"with_conflict_mid",22,9,40.9090909090909,NA,NA,NA,NA
"DRC",3,9,"with_conflict_mid",140,71,50.7142857142857,3.23972891438141,2.77428695312134,1.35677123003214,8.20189076700364
"DRC",3,10,"with_conflict_mid",13,1,7.69230769230769,NA,NA,NA,NA
"DRC",4,1,"with_conflict_mid",152,51,33.5526315789474,4.41190390679114,3.32889526299178,1,9.73796293151063
"DRC",4,2,"with_conflict_mid",41,18,43.9024390243902,1.85482762003467,1.85482762003467,1.85482762003467,1.85482762003467
"DRC",5,1,"with_conflict_mid",15,3,20,NA,NA,NA,NA
"DRC",5,2,"with_conflict_mid",40,19,47.5,3.73535428509111,3.73535428509111,1.86121346125182,5.6094951089304
"DRC",5,3,"with_conflict_mid",30,15,50,1.19992927548639,1,1,1.8573343615249
"DRC",5,4,"with_conflict_mid",64,37,57.8125,1.90759744051314,1.34767525226838,1,4.48601355247053
"DRC",5,5,"with_conflict_mid",12,2,16.6666666666667,NA,NA,NA,NA
"DRC",5,6,"with_conflict_mid",195,69,35.3846153846154,3.11268719098911,1.50450589270699,1,9.97038390633178
"DRC",5,7,"with_conflict_mid",17,7,41.1764705882353,1.40195457345229,1.40195457345229,1.40195457345229,1.40195457345229
"DRC",5,8,"with_conflict_mid",48,27,56.25,2.86582183544446,1.73960957022627,1,6.98406820132528
"DRC",5,9,"with_conflict_mid",20,7,35,1.85142223967189,1.85142223967189,1.85142223967189,1.85142223967189
"DRC",5,10,"with_conflict_mid",11,3,27.2727272727273,NA,NA,NA,NA
"DRC",6,1,"with_conflict_mid",41,22,53.6585365853659,1.58005017064885,1.58005017064885,1.30619331710172,1.85390702419599
"DRC",6,2,"with_conflict_mid",16,6,37.5,1.15631266478212,1.15631266478212,1,1.31262532956424
"DRC",7,1,"with_conflict_mid",15,7,46.6666666666667,NA,NA,NA,NA
"DRC",7,2,"with_conflict_mid",68,27,39.7058823529412,1.18936513003632,1,1,1.80692901142572
"DRC",7,3,"with_conflict_mid",9,2,22.2222222222222,NA,NA,NA,NA
"DRC",7,4,"with_conflict_mid",71,45,63.3802816901408,2.52570253254115,1.42751450633962,1,8.23751236641434
"DRC",7,5,"with_conflict_mid",76,32,42.1052631578947,1.73770560082343,1,1,3.95082240329371
"DRC",7,6,"with_conflict_mid",57,28,49.1228070175439,1.86221351305733,1.14495555417733,1,4.42575847151911
"DRC",7,7,"with_conflict_mid",233,86,36.9098712446352,5.10276929199947,3.35016212953718,1,9.72646756466008
"DRC",7,8,"with_conflict_mid",70,20,28.5714285714286,1.22369155981846,1.17046484081347,1,1.55383655764692
"DRC",7,9,"with_conflict_mid",26,14,53.8461538461538,1.86866309501865,1.86866309501865,1.86866309501865,1.86866309501865
"DRC",7,10,"with_conflict_mid",28,12,42.8571428571429,1,1,1,1
"DRC",8,1,"with_conflict_mid",89,50,56.1797752808989,1.31803004142311,1,1,3.24086796345623
"DRC",8,2,"with_conflict_mid",321,126,39.2523364485981,3.02554010260913,2.77428695312134,1,7.95293647192115
"DRC",9,1,"with_conflict_mid",261,49,18.7739463601533,2.82731615199884,1.54246232412264,1,9.98315025485943
