"scenario","particle_id","rep","arm","n_eligible","n_received","pct_received","dpc_mean","dpc_median","dpc_min","dpc_max"
"DRC",111,9,"with_conflict_hi",124,59,47.5806451612903,1.07705078097112,1.02199875831896,1,1.1977275807049
"DRC",111,10,"with_conflict_hi",48,28,58.3333333333333,1.1245047127656,1.13734471570633,1,1.20520411137483
"DRC",112,1,"with_conflict_hi",20,10,50,1.04791970104857,1.04698650344597,1,1.09770579730235
"DRC",112,2,"with_conflict_hi",297,113,38.047138047138,2.0012023288579,1.41590847168493,1,4.92338237497579
"DRC",112,3,"with_conflict_hi",20,9,45,NA,NA,NA,NA
"DRC",112,4,"with_conflict_hi",314,128,40.7643312101911,1.78130155575545,1.46963568496461,1,3.80454485846537
"DRC",112,5,"with_conflict_hi",46,12,26.0869565217391,2.0007500064007,2.0007500064007,1,3.00150001280141
"DRC",112,6,"with_conflict_hi",204,69,33.8235294117647,1.78751346969437,1.41590847168493,1,3.81127084698691
"DRC",112,7,"with_conflict_hi",73,46,63.013698630137,1.26932837703233,1.15880054499308,1,2.48402822173559
"DRC",112,8,"with_conflict_hi",17,6,35.2941176470588,NA,NA,NA,NA
"DRC",112,9,"with_conflict_hi",27,12,44.4444444444444,1.10070054812725,1.03717993026506,1,1.32844233197889
"DRC",112,10,"with_conflict_hi",312,96,30.7692307692308,2.38551060428876,2.46305921571107,1,4.91103741294984
"DRC",113,1,"with_conflict_hi",312,104,33.3333333333333,1.94371146982491,1.5244152989506,1.1099305448981,3.63775555183249
"DRC",113,2,"with_conflict_hi",298,130,43.6241610738255,2.29163526859838,1.64734600078319,1,4.46238020215436
"DRC",113,3,"with_conflict_hi",6,3,50,NA,NA,NA,NA
"DRC",113,4,"with_conflict_hi",6,3,50,NA,NA,NA,NA
"DRC",113,5,"with_conflict_hi",21,15,71.4285714285714,1,1,1,1
"DRC",113,6,"with_conflict_hi",302,149,49.3377483443709,1.7381737362212,1.41590847168493,1.41590847168493,4.56607322343955
"DRC",113,7,"with_conflict_hi",18,11,61.1111111111111,1.1307266833947,1.19484324279972,1,1.19733680738437
"DRC",113,8,"with_conflict_hi",38,9,23.6842105263158,1.09882034088707,1.09882034088707,1.07584347263005,1.12179720914408
"DRC",113,9,"with_conflict_hi",268,45,16.7910447761194,3.29091353804685,3.71924204336755,1.14541112255616,4.86194874528727
"DRC",113,10,"with_conflict_hi",10,6,60,1.12291166165203,1.12291166165203,1.07633184552101,1.16949147778305
"DRC",114,1,"with_conflict_hi",6,6,100,1,1,1,1
"DRC",114,2,"with_conflict_hi",15,7,46.6666666666667,1,1,1,1
"DRC",114,3,"with_conflict_hi",195,79,40.5128205128205,1.572010080422,1.41989163148661,1,3.16143344578155
"DRC",114,4,"with_conflict_hi",5,2,40,NA,NA,NA,NA
"DRC",114,5,"with_conflict_hi",17,4,23.5294117647059,1,1,1,1
"DRC",114,6,"with_conflict_hi",9,3,33.3333333333333,1,1,1,1
"DRC",114,7,"with_conflict_hi",317,111,35.0157728706625,1.88761057434836,1.11602894909835,1,3.86699706319638
"DRC",114,8,"with_conflict_hi",213,85,39.906103286385,1.54828682218673,1.17762557018132,1,3.82955176957903
"DRC",114,9,"with_conflict_hi",289,80,27.681660899654,2.01552479632661,1.54012612787298,1,4.68431297035035
"DRC",114,10,"with_conflict_hi",288,93,32.2916666666667,1.34349958482715,1.08834295392388,1,4.3704529206856
"DRC",115,1,"with_conflict_hi",99,49,49.4949494949495,1.63262096362541,1.41590847168493,1,3.03009310073701
"DRC",115,2,"with_conflict_hi",27,19,70.3703703703704,1,1,1,1
"DRC",115,3,"with_conflict_hi",31,13,41.9354838709677,1,1,1,1
"DRC",115,4,"with_conflict_hi",125,38,30.4,1.46420726564205,1.0674942346593,1,3.09449042789556
"DRC",115,5,"with_conflict_hi",405,167,41.2345679012346,1.94869157650708,1.58541671467939,1,4.92367456565152
"DRC",115,6,"with_conflict_hi",66,35,53.030303030303,1.15850749168079,1.13897572728713,1,1.36752292998416
"DRC",115,7,"with_conflict_hi",7,3,42.8571428571429,1.19484947131822,1.19484947131822,1.19484947131822,1.19484947131822
"DRC",115,8,"with_conflict_hi",295,95,32.2033898305085,1.55895327348312,1.39376854943096,1,3.13997778231142
"DRC",115,9,"with_conflict_hi",372,169,45.4301075268817,1.66082258684752,1.41590847168493,1,3.63465448170576
"DRC",115,10,"with_conflict_hi",340,109,32.0588235294118,1.84992136940906,1.10753949286149,1,4.4890779940315
"DRC",116,1,"with_conflict_hi",226,83,36.7256637168142,1.7244250926068,1.41590847168493,1,4.76046565154438
"DRC",116,2,"with_conflict_hi",26,8,30.7692307692308,1.04660061702272,1,1,1.13980185106817
"DRC",116,3,"with_conflict_hi",4,1,25,1,1,1,1
"DRC",116,4,"with_conflict_hi",4,1,25,1,1,1,1
"DRC",116,5,"with_conflict_hi",6,1,16.6666666666667,NA,NA,NA,NA
"DRC",116,6,"with_conflict_hi",85,51,60,1.05946272150771,1,1,1.19724796732952
"DRC",116,7,"with_conflict_hi",290,98,33.7931034482759,1.84734961988556,1.14280878181375,1,4.60094901418829
"DRC",116,8,"with_conflict_hi",21,11,52.3809523809524,1.60456603031741,1.60456603031741,1,2.20913206063482
"DRC",116,9,"with_conflict_hi",329,109,33.1306990881459,2.03772309775588,1.52888694840111,1,4.71742932363277
"DRC",116,10,"with_conflict_hi",53,33,62.2641509433962,1.66715744578521,1.14984295691286,1.0678116567182,3.4276825304067
"DRC",117,1,"with_conflict_hi",32,18,56.25,1.0329752255929,1.0329752255929,1,1.06595045118581
"DRC",117,2,"with_conflict_hi",10,3,30,1.19576372660894,1.19576372660894,1.19576372660894,1.19576372660894
