"scenario","policy","dpc","supply_ratio","pct_averted_med","pct_averted_lo","pct_averted_hi"
"DRC","A",5,1.25,20.0628485420734,15.3752121545908,24.4336977123088
"DRC","A",5,1.3,20.6034687791222,15.8419157022393,24.9599395293021
"DRC","A",5,1.35,21.144089016171,16.3205787907331,25.4270194332872
"DRC","A",5,1.4,21.6641391505441,16.8035156145133,25.9228866008643
"DRC","A",5,1.45,22.2183815869068,17.2167090576588,26.4598681286746
"DRC","A",5,1.5,22.764779647531,17.6785247529897,27.0169166017351
"DRC","A",5,1.55,23.2652023433843,18.1645813634415,27.8155946055598
"DRC","A",5,1.6,23.7135621222811,18.512857095037,28.6142726093846
"DRC","A",5,1.65,24.1546012857127,18.9753240554902,29.1066241899926
"DRC","A",5,1.7,24.5775655582707,19.3841868580005,29.7307001185832
"DRC","A",5,1.75,25.0018742502969,19.7392283797993,30.4372170888528
"DRC","A",5,1.8,25.4136057452558,20.1182719941647,31.1087526073241
"DRC","A",5,1.85,25.9022604273156,20.5593616467855,31.6004144313796
"DRC","A",5,1.9,26.3008267388125,20.9355564108584,32.1013952153993
"DRC","A",5,1.95,26.7590496241772,21.3808829721117,32.7696143917191
"DRC","A",5,2,27.1060195832089,21.7781365264316,33.3860186972337
"DRC","A",5,2.05,27.5685869982617,22.1547670533148,33.7003321873621
"DRC","A",5,2.1,28.0272712235054,22.5313975801979,34.3547743798405
"DRC","A",5,2.15,28.4226684433032,22.9080281070811,34.8977157044651
"DRC","A",5,2.2,28.9449875620897,23.2846586339642,35.3097470437906
"DRC","A",5,2.25,29.4673066808762,23.6612891608473,35.6913505616808
"DRC","A",5,2.3,29.9673564548102,24.0379196877305,36.1254317641612
"DRC","A",5,2.35,30.3150615645824,24.4145502146136,36.5745688038793
"DRC","A",5,2.4,30.5944063012396,24.7566865652958,37.0945450041838
"DRC","A",5,2.45,30.9120704287288,25.1187688540559,37.5985419457066
"DRC","A",5,2.5,31.1834936137476,25.480851142816,38.0751274648205
"DRC","A",5,2.55,31.498661904919,25.8429334315761,38.5466461511684
"DRC","A",5,2.6,31.9329364639204,26.1790435890721,39.1191015703468
"DRC","A",5,2.65,32.3181815222084,26.4735334562038,39.4720490492254
"DRC","A",5,2.7,32.6869760336729,26.7919595713745,39.8008748759726
"DRC","A",5,2.75,33.0889681354368,27.2059737983425,40.0756902181666
"DRC","A",5,2.8,33.5384010249711,27.63800723493,40.3505055603606
"DRC","A",5,2.85,33.9604520214131,27.9714283408632,40.6470396104386
"DRC","A",5,2.9,34.3771572568277,28.2285943536428,41.09562631875
"DRC","A",5,2.95,34.7188576382339,28.48394642546,41.4774089262496
"DRC","A",5,3,35.0177235951907,28.7428139727142,41.8693774833801
"DRC","A",5,3.05,35.3460819249399,29.0636240204369,42.2724566132478
"DRC","A",5,3.1,35.6760428455642,29.381568160538,42.7947648009588
"DRC","A",5,3.15,35.9783499153822,29.6766788413102,43.3170729886697
