"scenario","particle_id","arm","pct_hcw_deaths_averted","pct_days_lost_averted","n_hcw_deaths","condition"
"DRC",37,"with_conflict_mid",33.2167832167832,30.7571763226326,19.1,"baseline"
"DRC",38,"with_conflict_hi",33.768115942029,36.9478598650081,45.7,"baseline"
"DRC",38,"with_conflict_lo",24.1615853658537,25.0130547837749,99.5,"baseline"
"DRC",38,"with_conflict_mid",31.7574511819116,32.6767869962704,66.4,"baseline"
"DRC",39,"with_conflict_hi",30.3875968992248,32.1567731970585,44.9,"baseline"
"DRC",39,"with_conflict_lo",22.3684210526316,22.5355186098525,47.2,"baseline"
"DRC",39,"with_conflict_mid",30.5239179954442,31.9785548610002,61,"baseline"
"DRC",40,"with_conflict_hi",27.4949083503055,30.5715760345666,35.6,"baseline"
"DRC",40,"with_conflict_lo",24.7978436657682,26.7039980879401,55.8,"baseline"
"DRC",40,"with_conflict_mid",33.7404580152672,32.5741771946692,43.4,"baseline"
"DRC",41,"with_conflict_hi",27.6951672862454,29.5675491257558,38.9,"baseline"
"DRC",41,"with_conflict_lo",29.6296296296296,31.9900015507947,24.7,"baseline"
"DRC",41,"with_conflict_mid",25.7142857142857,31.3430138735221,44.2,"baseline"
"DRC",42,"with_conflict_hi",32.404181184669,30.2660812200528,38.8,"baseline"
"DRC",42,"with_conflict_lo",20.2,22.9939883246106,79.8,"baseline"
"DRC",42,"with_conflict_mid",22.7078891257996,29.9239620148082,72.5,"baseline"
"DRC",43,"with_conflict_hi",29.6943231441048,33.5200446292625,64.4,"baseline"
"DRC",43,"with_conflict_lo",20.2554744525547,18.0107711935466,43.7,"baseline"
"DRC",43,"with_conflict_mid",26.427255985267,30.4984944833143,79.9,"baseline"
"DRC",44,"with_conflict_hi",27.491103202847,30.8931381220231,81.5,"baseline"
"DRC",44,"with_conflict_lo",21.5336948102246,25.5693101290511,101.3,"baseline"
"DRC",44,"with_conflict_mid",26.9503546099291,32.2980632028996,82.4,"baseline"
"DRC",45,"with_conflict_hi",26.3050153531218,30.1714049550332,72,"baseline"
"DRC",45,"with_conflict_lo",26.8529769137303,25.0334061081639,60.2,"baseline"
