"scenario","arm","week","metric","n","q025","q25","q50","q75","q975","method","iqr_width","ci95_width"
"DRC","baseline",19.5,"deaths",200,15.28,25.25,32.1,39.1,54.335,"mean_first",13.85,39.055
"DRC","baseline",19.5,"hcw_deaths",200,10.7975,15.675,19.65,22.825,29.8025,"mean_first",7.15,19.005
"DRC","baseline",19.5,"hcw_deaths_incidence",200,0.4975,0.8,1.2,1.7,2.6,"mean_first",0.9,2.1025
"DRC","baseline",19.5,"infections",200,19.9975,34.125,44.45,56.625,79.9475,"mean_first",22.5,59.95
"DRC","baseline",20.5,"deaths",200,12.8725,22.775,28.4,35.7,48.4725,"mean_first",12.925,35.6
"DRC","baseline",20.5,"hcw_deaths",200,11.395,16.675,20.5,24.7,32.0175,"mean_first",8.025,20.6225
"DRC","baseline",20.5,"hcw_deaths_incidence",200,0.3975,0.8,1.1,1.5,2.305,"mean_first",0.7,1.9075
"DRC","baseline",20.5,"infections",200,17.6975,28.7,39.25,50.25,67.78,"mean_first",21.55,50.0825
"DRC","baseline",21.5,"deaths",200,11.5975,19.375,25.05,32.5,43.41,"mean_first",13.125,31.8125
"DRC","baseline",21.5,"hcw_deaths",200,11.99,17.6,21.65,25.925,34.1175,"mean_first",8.325,22.1275
"DRC","baseline",21.5,"hcw_deaths_incidence",200,0.2,0.7,1,1.4,2.2,"mean_first",0.7,2
"DRC","baseline",21.5,"infections",200,13.4925,23.625,33.6,42.35,61.605,"mean_first",18.725,48.1125
"DRC","baseline",22.5,"deaths",200,9.785,15.85,21.6,27.4,39.14,"mean_first",11.55,29.355
"DRC","baseline",22.5,"hcw_deaths",200,12.5,18.4,22.6,26.95,35.635,"mean_first",8.55,23.135
"DRC","baseline",22.5,"hcw_deaths_incidence",200,0.2,0.6,0.9,1.1,2.1025,"mean_first",0.5,1.9025
"DRC","baseline",22.5,"infections",200,8.995,19.875,27.85,36.9,53.415,"mean_first",17.025,44.42
"DRC","baseline",23.5,"deaths",200,7.49,12.775,18.4,23.1,32.6125,"mean_first",10.325,25.1225
"DRC","baseline",23.5,"hcw_deaths",200,12.8975,18.875,23.15,27.725,37.215,"mean_first",8.85,24.3175
"DRC","baseline",23.5,"hcw_deaths_incidence",200,0.1,0.5,0.7,1,1.7,"mean_first",0.5,1.6
"DRC","baseline",23.5,"infections",200,8.68,16.575,23.25,31.825,47.28,"mean_first",15.25,38.6
"DRC","baseline",24.5,"deaths",200,5.2925,10.875,15.1,19.7,29.6025,"mean_first",8.825,24.31
"DRC","baseline",24.5,"hcw_deaths",200,13.68,19.375,23.85,28.7,37.8225,"mean_first",9.325,24.1425
"DRC","baseline",24.5,"hcw_deaths_incidence",200,0.1,0.3,0.6,0.9,1.5,"mean_first",0.6,1.4
"DRC","baseline",24.5,"infections",200,6.795,14.3,20.55,28.85,43.605,"mean_first",14.55,36.81
"DRC","baseline",25.5,"deaths",200,4.9875,9.5,13.25,17.675,25.2525,"mean_first",8.175,20.265
"DRC","baseline",25.5,"hcw_deaths",200,14.18,19.875,24.2,29.05,38.63,"mean_first",9.175,24.45
"DRC","baseline",25.5,"hcw_deaths_incidence",200,0.1,0.3,0.5,0.8,1.3025,"mean_first",0.5,1.2025
"DRC","baseline",25.5,"infections",200,5.6875,12.55,18.2,25,38.02,"mean_first",12.45,32.3325
"DRC","baseline",26.5,"deaths",200,4.0925,8.1,11.4,15.625,24.51,"mean_first",7.525,20.4175
"DRC","baseline",26.5,"hcw_deaths",200,14.3775,20.35,24.7,29.8,39.325,"mean_first",9.45,24.9475
"DRC","baseline",26.5,"hcw_deaths_incidence",200,0,0.3,0.5,0.7,1.3,"mean_first",0.4,1.3
"DRC","baseline",26.5,"infections",200,4.5875,11.275,15.65,23,35.4,"mean_first",11.725,30.8125
"DRC","baseline",27.5,"deaths",200,3.185,6.575,10.15,13.825,20.21,"mean_first",7.25,17.025
"DRC","baseline",27.5,"hcw_deaths",200,14.585,20.7,25.2,30.2,39.825,"mean_first",9.5,25.24
"DRC","baseline",27.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.6,1,"mean_first",0.4,1
"DRC","baseline",27.5,"infections",200,3.4975,9.25,14.5,20.525,33.9075,"mean_first",11.275,30.41
"DRC","baseline",28.5,"deaths",200,2.785,6.175,9.1,12.625,21.2175,"mean_first",6.45,18.4325
"DRC","baseline",28.5,"hcw_deaths",200,14.7875,21.075,25.6,30.45,40.7125,"mean_first",9.37499999999999,25.925
"DRC","baseline",28.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.5,1,"mean_first",0.3,1
"DRC","baseline",28.5,"infections",200,2.8975,8.35,12.85,18,33.54,"mean_first",9.65,30.6425
"DRC","baseline",29.5,"deaths",200,1.9975,4.8,7,10.325,16.7225,"mean_first",5.525,14.725
"DRC","baseline",29.5,"hcw_deaths",200,14.89,21.45,25.85,31,41.4125,"mean_first",9.55,26.5225
"DRC","baseline",29.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.5,0.9,"mean_first",0.3,0.9
"DRC","baseline",29.5,"infections",200,2.5975,8.575,14.05,19.6,36.8175,"mean_first",11.025,34.22
"DRC","baseline",30.5,"deaths",200,1.8975,4.7,7.4,10.45,18.505,"mean_first",5.75,16.6075
"DRC","baseline",30.5,"hcw_deaths",200,14.8975,21.8,26.3,31.325,42.0025,"mean_first",9.525,27.105
"DRC","baseline",30.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.5,1.005,"mean_first",0.3,1.005
"DRC","baseline",30.5,"infections",200,2.8925,10.175,16.05,23.125,41.3025,"mean_first",12.95,38.41
"DRC","baseline",31.5,"deaths",200,1.79,5.4,8.8,12.15,22.105,"mean_first",6.75,20.315
"DRC","baseline",31.5,"hcw_deaths",200,15.095,22.075,26.85,31.625,42.8025,"mean_first",9.55,27.7075
"DRC","baseline",31.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.7,1.2025,"mean_first",0.5,1.2025
"DRC","baseline",31.5,"infections",200,3.3,12.175,18.85,28.525,47.6675,"mean_first",16.35,44.3675
"DRC","baseline",32.5,"deaths",200,1.795,6.2,9.95,14.225,23.5525,"mean_first",8.025,21.7575
"DRC","baseline",32.5,"hcw_deaths",200,15.095,22.425,27.2,32.2,43.4125,"mean_first",9.775,28.3175
"DRC","baseline",32.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.6,1.1025,"mean_first",0.4,1.1025
"DRC","baseline",32.5,"infections",200,3.4975,13.8,22.9,34.025,59.405,"mean_first",20.225,55.9075
"DRC","baseline",33.5,"deaths",200,1.995,7,11.15,16.55,28.3125,"mean_first",9.55,26.3175
"DRC","baseline",33.5,"hcw_deaths",200,15.29,22.6,27.65,32.7,43.72,"mean_first",10.1,28.43
"DRC","baseline",33.5,"hcw_deaths_incidence",200,0,0.1,0.35,0.5,1.0025,"mean_first",0.4,1.0025
"DRC","baseline",33.5,"infections",200,4.49,16.075,25.8,39.45,66.0875,"mean_first",23.375,61.5975
"DRC","baseline",34.5,"deaths",200,1.8975,8.425,13.6,20.225,33.84,"mean_first",11.8,31.9425
"DRC","baseline",34.5,"hcw_deaths",200,15.485,22.875,28,33,44.1225,"mean_first",10.125,28.6375
"DRC","baseline",34.5,"hcw_deaths_incidence",200,0,0.2,0.3,0.5,1,"mean_first",0.3,1
"DRC","baseline",34.5,"infections",200,4.49,18.575,31.2,47.175,79.515,"mean_first",28.6,75.025
"DRC","baseline",35.5,"deaths",200,2.795,9.475,15.4,23.175,41.1075,"mean_first",13.7,38.3125
"DRC","baseline",35.5,"hcw_deaths",200,15.7825,23.175,28.6,33.775,45.22,"mean_first",10.6,29.4375
"DRC","baseline",35.5,"hcw_deaths_incidence",200,0,0.2,0.4,0.7,1.2,"mean_first",0.5,1.2
"DRC","baseline",35.5,"infections",200,4.595,22.375,36.35,51.975,97.2025,"mean_first",29.6,92.6075
"DRC","baseline",36.5,"deaths",200,2.7,11.3,17.95,27.375,45.6075,"mean_first",16.075,42.9075
"DRC","baseline",36.5,"hcw_deaths",200,15.98,23.45,29.2,34.8,45.3525,"mean_first",11.35,29.3725
"DRC","baseline",36.5,"hcw_deaths_incidence",200,0,0.2,0.5,0.8,1.5,"mean_first",0.6,1.5
"DRC","baseline",36.5,"infections",200,5.2775,26.85,42.75,62.2,120.305,"mean_first",35.35,115.0275
"DRC","baseline",37.5,"deaths",200,3.095,13.575,22,31.875,55.2125,"mean_first",18.3,52.1175
"DRC","baseline",37.5,"hcw_deaths",200,16.3725,24.025,29.5,35.525,46.75,"mean_first",11.5,30.3775
"DRC","baseline",37.5,"hcw_deaths_incidence",200,0,0.3,0.6,0.9,1.6,"mean_first",0.6,1.6
"DRC","baseline",37.5,"infections",200,8.1775,32.4,51.1,75.2,130.4725,"mean_first",42.8,122.295
"DRC","baseline",38.5,"deaths",200,3.295,16.275,25.55,36.55,67.7075,"mean_first",20.275,64.4125
"DRC","baseline",38.5,"hcw_deaths",200,16.5675,24.5,30.2,37.125,48.73,"mean_first",12.625,32.1625
"DRC","baseline",38.5,"hcw_deaths_incidence",200,0,0.3,0.6,1,2,"mean_first",0.7,2
"DRC","baseline",38.5,"infections",200,8.4,37.775,61.2,86.15,156.5475,"mean_first",48.375,148.1475
"DRC","baseline",39.5,"deaths",200,4.1925,18.875,29.2,44.45,75.8525,"mean_first",25.575,71.6600000000001
"DRC","baseline",39.5,"hcw_deaths",200,16.8775,25.075,31.1,38.35,51.805,"mean_first",13.275,34.9275
"DRC","baseline",39.5,"hcw_deaths_incidence",200,0,0.4,0.7,1.3,2.4025,"mean_first",0.9,2.4025
"DRC","baseline",39.5,"infections",200,9.195,43.925,71.95,102.5,184.735,"mean_first",58.575,175.54
"DRC","baseline",40.5,"deaths",200,5.5925,21.975,35.35,51.625,91.68,"mean_first",29.65,86.0875
"DRC","baseline",40.5,"hcw_deaths",200,17.68,25.7,32.3,40.525,52.6175,"mean_first",14.825,34.9375
"DRC","baseline",40.5,"hcw_deaths_incidence",200,0,0.5,0.9,1.4,2.8,"mean_first",0.9,2.8
"DRC","baseline",40.5,"infections",200,11.0875,51.625,85.7,120.3,224.13,"mean_first",68.675,213.0425
"DRC","baseline",41.5,"deaths",200,5.975,25.275,43.05,58.725,108.7575,"mean_first",33.45,102.7825
"DRC","baseline",41.5,"hcw_deaths",200,17.9725,26.3,33.3,41.925,55.725,"mean_first",15.625,37.7525
"DRC","baseline",41.5,"hcw_deaths_incidence",200,0,0.6,1,1.7,3.3025,"mean_first",1.1,3.3025
"DRC","baseline",41.5,"infections",200,11.9675,60.075,101.35,140.525,262.955,"mean_first",80.45,250.9875
"DRC","baseline",42.5,"deaths",200,5.7875,30.55,50.25,71.5,130.695,"mean_first",40.95,124.9075
"DRC","baseline",42.5,"hcw_deaths",200,18.0725,27.1,34.75,43.5,59.9275,"mean_first",16.4,41.855
"DRC","baseline",42.5,"hcw_deaths_incidence",200,0.1,0.7,1.2,1.9,4,"mean_first",1.2,3.9
"DRC","baseline",42.5,"infections",200,13.0825,68.775,119.55,168.475,308.3675,"mean_first",99.7,295.285
"DRC","baseline",43.5,"deaths",200,7.495,37.125,64.15,89.25,158.2,"mean_first",52.125,150.705
"DRC","baseline",43.5,"hcw_deaths",200,18.47,28.05,35.9,45.45,64.7375,"mean_first",17.4,46.2675
"DRC","baseline",43.5,"hcw_deaths_incidence",200,0.1975,0.9,1.5,2.4,4.8075,"mean_first",1.5,4.61
"DRC","baseline",43.5,"infections",200,13.365,70.55,116.7,173.625,321.1325,"mean_first",103.075,307.7675
"DRC","baseline",44.5,"deaths",200,8.58,42.625,74.65,104.875,194.1625,"mean_first",62.25,185.5825
"DRC","baseline",44.5,"hcw_deaths",200,18.6775,29.375,37.7,47.75,67.5875,"mean_first",18.375,48.91
