"scenario","arm","particle_id","cum_hcw_deaths"
"WestAfrica","baseline",47,352.8
"WestAfrica","baseline",48,1038.2
"WestAfrica","baseline",49,783.5
"WestAfrica","baseline",50,591.7
"WestAfrica","baseline",51,245.5
"WestAfrica","baseline",52,871.9
"WestAfrica","baseline",53,307.8
"WestAfrica","baseline",54,303.2
"WestAfrica","baseline",55,983.1
"WestAfrica","baseline",56,702
"WestAfrica","baseline",57,946.3
"WestAfrica","baseline",58,919.5
"WestAfrica","baseline",59,508.9
"WestAfrica","baseline",60,289.8
"WestAfrica","baseline",61,649.3
"WestAfrica","baseline",62,425.3
"WestAfrica","baseline",63,313.8
"WestAfrica","baseline",64,785.8
"WestAfrica","baseline",65,767.8
"WestAfrica","baseline",66,898.1
"WestAfrica","baseline",67,662.5
"WestAfrica","baseline",68,303.9
"WestAfrica","baseline",69,464.7
"WestAfrica","baseline",70,651.4
"WestAfrica","baseline",71,378
"WestAfrica","baseline",72,775.8
"WestAfrica","baseline",73,488.2
"WestAfrica","baseline",74,701.4
"WestAfrica","baseline",75,603.8
"WestAfrica","baseline",76,719.5
"WestAfrica","baseline",77,312.8
"WestAfrica","baseline",78,325.2
"WestAfrica","baseline",79,265
"WestAfrica","baseline",80,594.2
"WestAfrica","baseline",81,683
"WestAfrica","baseline",82,748.5
"WestAfrica","baseline",83,702.7
"WestAfrica","baseline",84,525.5
"WestAfrica","baseline",85,302.1
"WestAfrica","baseline",86,994.9
"WestAfrica","baseline",87,206.8
"WestAfrica","baseline",88,569.1
"WestAfrica","baseline",89,632.2
"WestAfrica","baseline",90,1006.8
"WestAfrica","baseline",91,263.1
"WestAfrica","baseline",92,268.8
"WestAfrica","baseline",93,506.9
"WestAfrica","baseline",94,399
"WestAfrica","baseline",95,236.3
"WestAfrica","baseline",96,374.6
"WestAfrica","baseline",97,300.5
"WestAfrica","baseline",98,790.2
"WestAfrica","baseline",99,495.8
"WestAfrica","baseline",100,387.2
"WestAfrica","baseline",101,552.6
"WestAfrica","baseline",102,655.2
"WestAfrica","baseline",103,332.6
"WestAfrica","baseline",104,670
"WestAfrica","baseline",105,411.7
"WestAfrica","baseline",106,793.9
"WestAfrica","baseline",107,581.5
"WestAfrica","baseline",108,594.4
"WestAfrica","baseline",109,596.5
"WestAfrica","baseline",110,736.7
"WestAfrica","baseline",111,788.6
"WestAfrica","baseline",112,890.5
"WestAfrica","baseline",113,252.4
"WestAfrica","baseline",114,268.5
"WestAfrica","baseline",115,799.6
"WestAfrica","baseline",116,460.3
"WestAfrica","baseline",117,646.7
"WestAfrica","baseline",118,791.6
"WestAfrica","baseline",119,840.2
"WestAfrica","baseline",120,215.6
"WestAfrica","baseline",121,881.8
"WestAfrica","baseline",122,541.9
"WestAfrica","baseline",123,710.5
"WestAfrica","baseline",124,698.3
"WestAfrica","baseline",125,244.7
"WestAfrica","baseline",126,392.3
"WestAfrica","baseline",127,674.6
"WestAfrica","baseline",128,843.1
"WestAfrica","baseline",129,750.2
"WestAfrica","baseline",130,671
"WestAfrica","baseline",131,637.8
"WestAfrica","baseline",132,310.9
"WestAfrica","baseline",133,510
"WestAfrica","baseline",134,601.4
"WestAfrica","baseline",135,566.4
"WestAfrica","baseline",136,312
"WestAfrica","baseline",137,631.6
"WestAfrica","baseline",138,524.2
"WestAfrica","baseline",139,555.9
"WestAfrica","baseline",140,248
"WestAfrica","baseline",141,478.8
"WestAfrica","baseline",142,273.1
"WestAfrica","baseline",143,424
"WestAfrica","baseline",144,701.5
"WestAfrica","baseline",145,756.2
"WestAfrica","baseline",146,909.1
"WestAfrica","baseline",147,187.5
"WestAfrica","baseline",148,448.4
"WestAfrica","baseline",149,831.5
"WestAfrica","baseline",150,484.9
"WestAfrica","baseline",151,517.3
"WestAfrica","baseline",152,441.7
"WestAfrica","baseline",153,470.4
"WestAfrica","baseline",154,664.6
"WestAfrica","baseline",155,167.3
"WestAfrica","baseline",156,613.7
"WestAfrica","baseline",157,862.2
"WestAfrica","baseline",158,188.9
"WestAfrica","baseline",159,630.4
"WestAfrica","baseline",160,446.2
"WestAfrica","baseline",161,208.1
"WestAfrica","baseline",162,563.7
"WestAfrica","baseline",163,573.8
"WestAfrica","baseline",164,594.8
"WestAfrica","baseline",165,702.2
"WestAfrica","baseline",166,761.7
"WestAfrica","baseline",167,921.5
"WestAfrica","baseline",168,244.7
"WestAfrica","baseline",169,666
"WestAfrica","baseline",170,241.1
"WestAfrica","baseline",171,663
"WestAfrica","baseline",172,677.4
"WestAfrica","baseline",173,350.5
"WestAfrica","baseline",174,291.7
"WestAfrica","baseline",175,589.3
"WestAfrica","baseline",176,594.4
"WestAfrica","baseline",177,311.2
"WestAfrica","baseline",178,548.1
"WestAfrica","baseline",179,605.6
"WestAfrica","baseline",180,518.9
"WestAfrica","baseline",181,345
"WestAfrica","baseline",182,765.6
"WestAfrica","baseline",183,692
"WestAfrica","baseline",184,570.7
"WestAfrica","baseline",185,1023.3
"WestAfrica","baseline",186,639.8
"WestAfrica","baseline",187,1032
"WestAfrica","baseline",188,597.7
"WestAfrica","baseline",189,211
"WestAfrica","baseline",190,455.2
"WestAfrica","baseline",191,206.3
"WestAfrica","baseline",192,494
"WestAfrica","baseline",193,454.2
"WestAfrica","baseline",194,790.7
"WestAfrica","baseline",195,746.5
"WestAfrica","baseline",196,261.8
"WestAfrica","baseline",197,520.2
"WestAfrica","baseline",198,702.2
"WestAfrica","baseline",199,740.4
"WestAfrica","baseline",200,257.4
"WestAfrica","obv",1,43.7
"WestAfrica","obv",2,172.3
"WestAfrica","obv",3,147.8
"WestAfrica","obv",4,55.5
"WestAfrica","obv",5,48.6
"WestAfrica","obv",6,92.5
"WestAfrica","obv",7,74.8
"WestAfrica","obv",8,64.7
"WestAfrica","obv",9,60.8
"WestAfrica","obv",10,79.7
"WestAfrica","obv",11,72.8
"WestAfrica","obv",12,44.9
"WestAfrica","obv",13,61.7
"WestAfrica","obv",14,121.5
"WestAfrica","obv",15,49.2
"WestAfrica","obv",16,145.3
"WestAfrica","obv",17,61.7
"WestAfrica","obv",18,76.9
"WestAfrica","obv",19,111.4
"WestAfrica","obv",20,100.8
"WestAfrica","obv",21,81.7
"WestAfrica","obv",22,127.3
"WestAfrica","obv",23,70.6
"WestAfrica","obv",24,85.6
"WestAfrica","obv",25,184.9
"WestAfrica","obv",26,106.9
"WestAfrica","obv",27,58.9
"WestAfrica","obv",28,146.1
"WestAfrica","obv",29,170.5
"WestAfrica","obv",30,78.5
"WestAfrica","obv",31,92.4
"WestAfrica","obv",32,76.5
"WestAfrica","obv",33,45.4
"WestAfrica","obv",34,77.8
"WestAfrica","obv",35,103.1
"WestAfrica","obv",36,123
"WestAfrica","obv",37,119.4
"WestAfrica","obv",38,131.7
"WestAfrica","obv",39,118
"WestAfrica","obv",40,77.2
"WestAfrica","obv",41,120.2
"WestAfrica","obv",42,114.3
"WestAfrica","obv",43,112.7
"WestAfrica","obv",44,121.4
"WestAfrica","obv",45,107.3
"WestAfrica","obv",46,155.1
"WestAfrica","obv",47,72.7
"WestAfrica","obv",48,206.8
"WestAfrica","obv",49,156.5
"WestAfrica","obv",50,120.4
"WestAfrica","obv",51,51
"WestAfrica","obv",52,166.3
"WestAfrica","obv",53,58.3
"WestAfrica","obv",54,62.5
"WestAfrica","obv",55,199.7
"WestAfrica","obv",56,142.8
"WestAfrica","obv",57,185.5
"WestAfrica","obv",58,183.1
"WestAfrica","obv",59,102.3
"WestAfrica","obv",60,56.5
"WestAfrica","obv",61,132.3
"WestAfrica","obv",62,88.2
"WestAfrica","obv",63,59.6
"WestAfrica","obv",64,156
"WestAfrica","obv",65,158.6
"WestAfrica","obv",66,179.6
"WestAfrica","obv",67,128.8
"WestAfrica","obv",68,65.3
"WestAfrica","obv",69,92.5
"WestAfrica","obv",70,127.5
"WestAfrica","obv",71,73.6
"WestAfrica","obv",72,158.2
"WestAfrica","obv",73,97.8
"WestAfrica","obv",74,141.1
"WestAfrica","obv",75,117.8
"WestAfrica","obv",76,137.3
"WestAfrica","obv",77,63.8
"WestAfrica","obv",78,64.9
"WestAfrica","obv",79,53
"WestAfrica","obv",80,117.8
"WestAfrica","obv",81,131.2
"WestAfrica","obv",82,153.3
"WestAfrica","obv",83,143.2
"WestAfrica","obv",84,102
"WestAfrica","obv",85,63.9
"WestAfrica","obv",86,197.7
"WestAfrica","obv",87,40.5
"WestAfrica","obv",88,110.4
"WestAfrica","obv",89,132
"WestAfrica","obv",90,201.2
"WestAfrica","obv",91,52.5
"WestAfrica","obv",92,52.3
"WestAfrica","obv",93,103.4
"WestAfrica","obv",94,79.2
"WestAfrica","obv",95,45.7
"WestAfrica","obv",96,76.8
"WestAfrica","obv",97,60.9
"WestAfrica","obv",98,154.4
"WestAfrica","obv",99,101.6
"WestAfrica","obv",100,75.6
"WestAfrica","obv",101,111.9
"WestAfrica","obv",102,130.6
"WestAfrica","obv",103,66.1
"WestAfrica","obv",104,138
"WestAfrica","obv",105,84
"WestAfrica","obv",106,163.6
"WestAfrica","obv",107,111.4
"WestAfrica","obv",108,115.1
"WestAfrica","obv",109,120.1
"WestAfrica","obv",110,149
"WestAfrica","obv",111,157.9
"WestAfrica","obv",112,177.8
"WestAfrica","obv",113,50.5
"WestAfrica","obv",114,52.4
"WestAfrica","obv",115,152.1
"WestAfrica","obv",116,92.7
"WestAfrica","obv",117,126.7
"WestAfrica","obv",118,157
"WestAfrica","obv",119,166.8
"WestAfrica","obv",120,43
"WestAfrica","obv",121,174.9
"WestAfrica","obv",122,107.7
"WestAfrica","obv",123,137.5
"WestAfrica","obv",124,137.4
"WestAfrica","obv",125,48.5
"WestAfrica","obv",126,80.7
"WestAfrica","obv",127,137.4
"WestAfrica","obv",128,171.6
"WestAfrica","obv",129,154
"WestAfrica","obv",130,136
"WestAfrica","obv",131,129.5
"WestAfrica","obv",132,63.3
"WestAfrica","obv",133,105.2
"WestAfrica","obv",134,117.1
"WestAfrica","obv",135,106.6
"WestAfrica","obv",136,61
"WestAfrica","obv",137,126.3
"WestAfrica","obv",138,105.5
"WestAfrica","obv",139,114.2
"WestAfrica","obv",140,49.7
"WestAfrica","obv",141,92.6
"WestAfrica","obv",142,49.4
"WestAfrica","obv",143,82.9
"WestAfrica","obv",144,142.6
"WestAfrica","obv",145,148.2
"WestAfrica","obv",146,185.1
"WestAfrica","obv",147,35.3
"WestAfrica","obv",148,88
"WestAfrica","obv",149,159.5
"WestAfrica","obv",150,97.4
"WestAfrica","obv",151,106.1
"WestAfrica","obv",152,89.2
"WestAfrica","obv",153,94.6
"WestAfrica","obv",154,130.2
"WestAfrica","obv",155,33
"WestAfrica","obv",156,121.2
"WestAfrica","obv",157,170.5
"WestAfrica","obv",158,38.9
"WestAfrica","obv",159,124.7
"WestAfrica","obv",160,91.1
"WestAfrica","obv",161,40.8
"WestAfrica","obv",162,110.6
"WestAfrica","obv",163,113.3
"WestAfrica","obv",164,122.7
"WestAfrica","obv",165,142.3
"WestAfrica","obv",166,149.2
"WestAfrica","obv",167,191.7
