"scenario","particle_id","eff_name","efficacy","doses_B","n_prevented_hcw","ppe_efficacy","averted","base_pool","dda_B","dda_A","scenario_label"
"DRC",15,"obv_60",0.6,32,19,0.488542573716507,11.4,62.5663024047341,56.140350877193,109.765442815323,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_70",0.7,13,8,0.488542573716507,5.6,25.4175603519232,46.4285714285714,90.7770012568686,"DRC (Middle, PlusPlus)"
"DRC",15,"obv_80",0.8,97,79,0.488542573716507,63.2,189.65410416435,30.6962025316456,60.0171215709969,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_20",0.2,61,15,0.772741378913066,3,268.416659875207,406.666666666667,1789.44439916804,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_30",0.3,267,85,0.772741378913066,25.5,1174.87292109312,209.411764705882,921.468957720092,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_40",0.4,18,8,0.772741378913066,3.2,79.2049160287495,112.5,495.030725179684,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_50",0.5,15,11,0.772741378913066,5.5,66.0040966906246,54.5454545454545,240.014897056817,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_60",0.6,21,15,0.772741378913066,9,92.4057353668744,46.6666666666667,205.346078593054,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_70",0.7,106,75,0.772741378913066,52.5,466.42894994708,40.3809523809524,177.687219027459,"DRC (Middle, PlusPlus)"
"DRC",16,"obv_80",0.8,30,27,0.772741378913066,21.6,132.008193381249,27.7777777777778,122.229808686342,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_20",0.2,201.6,39.9,0.629484400677204,7.98,544.106645896883,505.263157894737,1363.67580425284,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_30",0.3,147.8,44.5,0.629484400677204,13.35,398.903582656544,221.423220973783,597.608363530403,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_40",0.4,132.4,49.4,0.629484400677204,19.76,357.339880539421,134.008097165992,361.680041031803,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_50",0.5,99.4,50.4,0.629484400677204,25.2,268.274804574158,78.8888888888889,212.916511566792,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_60",0.6,72.6,45.4,0.629484400677204,27.24,195.94316712358,53.3039647577093,143.864293042276,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_70",0.7,125.4,82.7,0.629484400677204,57.89,338.447288668002,43.3235446536535,116.927721080671,"DRC (Middle, PlusPlus)"
"DRC",17,"obv_80",0.8,123.5,98.8,0.629484400677204,79.04,333.319299445759,31.25,84.3419279974087,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_20",0.2,72.4,12,0.440492328511308,2.4,129.399476878242,603.333333333333,1078.32897398535,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_30",0.3,197.1,53.9,0.440492328511308,16.17,352.273990230684,243.78478664193,435.713036772645,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_40",0.4,173,68.4,0.440492328511308,27.36,309.200407457678,126.461988304094,226.023689662045,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_50",0.5,207.6,102.5,0.440492328511308,51.25,371.040488949213,81.0146341463415,144.796288370425,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_60",0.6,201.2,120.2,0.440492328511308,72.12,359.601861158871,55.79589572934,99.7232005432255,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_70",0.7,160.2,113.2,0.440492328511308,79.24,286.323151876994,40.4341241797072,72.2673275812706,"DRC (Middle, PlusPlus)"
"DRC",18,"obv_80",0.8,162.1,132.7,0.440492328511308,106.16,289.718994502252,30.5388093443858,54.5815739454129,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_20",0.2,366,83,0.601348187793552,16.6,918.094409189494,440.963855421687,1106.13784239698,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_30",0.3,11,5,0.601348187793552,1.5,27.5930013690832,146.666666666667,367.906684921109,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_40",0.4,13,5,0.601348187793552,2,32.6099107089165,130,326.099107089165,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_50",0.5,379,181,0.601348187793552,90.5,950.704319898411,83.7569060773481,210.100402187494,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_60",0.6,102,70,0.601348187793552,42,255.862376331498,48.5714285714286,121.839226824523,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_70",0.7,20,16,0.601348187793552,11.2,50.169093398333,35.7142857142857,89.5876667827375,"DRC (Middle, PlusPlus)"
"DRC",19,"obv_80",0.8,14,10,0.601348187793552,8,35.1183653788331,35,87.7959134470828,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_20",0.2,387,83,0.601348187793552,16.6,970.771957257744,466.265060240964,1169.60476778041,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_30",0.3,115,37,0.601348187793552,11.1,288.472287040415,207.207207207207,519.769886559306,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_40",0.4,13,5,0.601348187793552,2,32.6099107089165,130,326.099107089165,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_50",0.5,248,116,0.601348187793552,58,622.096758139329,85.5172413793103,214.51612349632,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_60",0.6,45,24,0.601348187793552,14.4,112.880460146249,62.5,156.778416869791,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_70",0.7,9,8,0.601348187793552,5.6,22.5760920292499,32.1428571428571,80.6289001044638,"DRC (Middle, PlusPlus)"
"DRC",20,"obv_80",0.8,14,10,0.601348187793552,8,35.1183653788331,35,87.7959134470828,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_20",0.2,90.9,18.8,0.608740422745859,3.76,232.32658134003,483.510638297872,1235.77968797888,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_30",0.3,131.4,38.7,0.608740422745859,11.61,335.838424511331,226.356589147287,578.533031027271,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_40",0.4,94.4,35.9,0.608740422745859,14.36,241.272049268414,131.476323119777,336.033494802805,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_50",0.5,174.6,87.5,0.608740422745859,43.75,446.251057227385,79.8171428571429,204.000483303947,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_60",0.6,107.1,60.5,0.608740422745859,36.3,273.73131860855,59.0082644628099,150.816153503334,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_70",0.7,79.4,55.9,0.608740422745859,39.13,202.93432957534,40.5826731408127,103.723143151209,"DRC (Middle, PlusPlus)"
"DRC",21,"obv_80",0.8,172.8,139.6,0.608740422745859,111.68,441.650530864216,30.945558739255,79.0921437794083,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_20",0.2,289,57,0.892508224278437,11.4,2688.57778243984,507.017543859649,4716.80312708743,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_30",0.3,63,18,0.892508224278437,5.4,586.091350497265,233.333333333333,2170.70870554543,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_40",0.4,136,55,0.892508224278437,22,1265.21307408933,123.636363636364,1150.19370371758,"DRC (Middle, PlusPlus)"
"DRC",22,"obv_50",0.5,136,76,0.892508224278437,38,1265.21307408933,71.5789473684211,665.901617941755,"DRC (Middle, PlusPlus)"
