"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost"
"DRC",75,2,"obv_60",40,29133.8992786986,107,67,67077.1490802253
"DRC",75,3,"obv_60",90,27696.3115783631,202,112,63064.8058071542
"DRC",75,4,"obv_60",2,98.1943930791218,3,1,132.320483691198
"DRC",75,5,"obv_60",3,294.660539241464,4,1,405.726603289949
"DRC",75,6,"obv_60",4,926.945914530523,13,9,2357.25801918408
"DRC",75,7,"obv_60",14,3153.17396626615,28,14,8079.05292395849
"DRC",75,8,"obv_60",24,11572.286225978,61,37,30745.8895721427
"DRC",75,9,"obv_60",67,18825.5028429002,176,109,49213.5376437443
"DRC",75,10,"obv_60",11,2937.76074050708,29,18,7334.99139902285
"DRC",76,1,"obv_60",40,22236.3877318785,86,46,49441.8007131783
"DRC",76,2,"obv_60",16,7329.9303550628,70,54,26176.3750561225
"DRC",76,3,"obv_60",23,15909.4783466429,41,18,30064.8783960053
"DRC",76,4,"obv_60",2,1282.3888556306,11,9,2742.39060059119
"DRC",76,5,"obv_60",45,20921.0799066496,119,74,59003.1221803538
"DRC",76,6,"obv_60",34,13550.1793608806,95,61,34464.5331413669
"DRC",76,7,"obv_60",1,180.264545144925,8,7,1038.09434373694
"DRC",76,8,"obv_60",12,2094.01413281006,25,13,5340.08068438339
"DRC",76,9,"obv_60",51,26639.1620288913,145,94,69579.3715093788
"DRC",76,10,"obv_60",1,52.8657683868613,3,2,297.469741410483
"DRC",77,1,"obv_60",1,231.994273600982,4,3,673.626370200584
"DRC",77,2,"obv_60",25,9911.52719795082,56,31,26578.1385099254
"DRC",77,3,"obv_60",11,2984.83399921447,31,20,7604.50197065298
"DRC",77,4,"obv_60",35,20597.2548383841,85,50,51087.3254060741
"DRC",77,5,"obv_60",76,19338.7638816797,219,143,50580.8580470712
"DRC",77,6,"obv_60",5,1318.52914108613,20,15,4818.15095351132
"DRC",77,7,"obv_60",23,11979.1004423199,70,47,30120.4405774914
"DRC",77,8,"obv_60",10,941.080006552536,21,11,2513.54090161875
"DRC",77,9,"obv_60",7,2174.05249943212,21,14,5233.89883849742
"DRC",77,10,"obv_60",35,17890.8843593444,89,54,44459.7846531514
"DRC",78,1,"obv_60",43,16539.2434005661,104,61,42032.4460047042
"DRC",78,2,"obv_60",2,357.807156573952,4,2,552.215550568719
"DRC",78,3,"obv_60",72,54092.0483619218,153,81,119445.609889834
"DRC",78,4,"obv_60",3,220.292278113412,6,3,970.670724979035
"DRC",78,5,"obv_60",55,33208.3529602427,126,71,78196.2109567347
"DRC",78,6,"obv_60",65,38923.5465572008,148,83,99474.5367829711
"DRC",78,7,"obv_60",54,14117.5936584819,166,112,41423.4995843915
"DRC",78,8,"obv_60",57,40115.0539312897,134,77,106554.871044389
"DRC",78,9,"obv_60",87,21251.3692280477,203,116,52283.1778127919
"DRC",78,10,"obv_60",21,10205.0004267558,52,31,24941.0953681012
"DRC",79,1,"obv_60",70,47779.9694308042,187,117,130886.499320316
"DRC",79,2,"obv_60",2,678.306164835943,4,2,1516.74488511061
"DRC",79,3,"obv_60",4,555.745713817202,6,2,1127.95690051503
"DRC",79,4,"obv_60",55,21359.2178219632,124,69,56462.7961157404
"DRC",79,5,"obv_60",90,22210.9106265951,236,146,54037.2670443803
"DRC",79,6,"obv_60",11,1301.53942216177,20,9,2652.78771762118
"DRC",79,7,"obv_60",11,1301.53942216177,20,9,2652.78771762118
"DRC",79,8,"obv_60",113,31161.4600791656,266,153,73266.4309087177
"DRC",79,9,"obv_60",68,11604.4862663751,194,126,30455.1298665423
"DRC",79,10,"obv_60",12,4673.652531833,23,11,10797.9960351719
"DRC",80,1,"obv_60",13,6207.70143026545,54,41,20580.6454640041
"DRC",80,2,"obv_60",9,4299.61853964064,16,7,7097.51804078569
"DRC",80,3,"obv_60",51,11843.627176661,137,86,27938.2181985198
"DRC",80,4,"obv_60",4,1598.5273880441,10,6,3456.85366805507
"DRC",80,5,"obv_60",31,16060.9351331689,72,41,38059.8210596694
"DRC",80,6,"obv_60",0,0,1,1,219.054398588442
"DRC",80,7,"obv_60",9,3727.11152022009,31,22,15645.5081738148
"DRC",80,8,"obv_60",75,38900.5685730628,195,120,100056.549144278
"DRC",80,9,"obv_60",45,17046.1268520307,98,53,36422.2161155422
"DRC",80,10,"obv_60",23,12445.6755470202,37,14,24473.1545093988
"DRC",81,1,"obv_60",5,850.318997474827,9,4,1422.06980264958
"DRC",81,2,"obv_60",17,5772.62662402164,42,25,12726.037255699
"DRC",81,3,"obv_60",8,1603.52713335972,20,12,4309.1680233575
"DRC",81,4,"obv_60",75,20424.9274868813,199,124,56780.9697119335
"DRC",81,5,"obv_60",8,1911.77052331335,15,7,3291.04598898273
"DRC",81,6,"obv_60",2,135.725190181265,4,2,298.774033421558
"DRC",81,7,"obv_60",14,4216.84310783199,29,15,10683.6235818548
"DRC",81,8,"obv_60",15,8697.23030895488,46,31,23110.4143273372
"DRC",81,9,"obv_60",22,12677.7226819539,54,32,30452.220679199
"DRC",81,10,"obv_60",55,32907.9623609476,137,82,82637.4176844965
"DRC",82,1,"obv_60",17,6766.33142759159,42,25,15069.0058314771
"DRC",82,2,"obv_60",9,974.398257624989,18,9,2520.85157547557
"DRC",82,3,"obv_60",4,474.601659312473,9,5,1289.90547832129
"DRC",82,4,"obv_60",7,1847.50428270052,26,19,4093.98683473508
"DRC",82,5,"obv_60",0,73.565532319332,0,0,73.565532319332
"DRC",82,6,"obv_60",12,4508.5129913376,27,15,13544.8408601263
"DRC",82,7,"obv_60",39,17280.6780271341,86,47,40546.4027973019
"DRC",82,8,"obv_60",5,599.036089944571,12,7,2102.90748699557
"DRC",82,9,"obv_60",39,23829.1095516001,81,42,52158.2198889641
"DRC",82,10,"obv_60",4,1065.01416067178,11,7,2985.06332523673
"DRC",83,1,"obv_60",1,453.202513101164,5,4,1339.53692046855
"DRC",83,2,"obv_60",64,52726.0699174147,160,96,141554.345904002
"DRC",83,3,"obv_60",32,19133.8484447906,98,66,48951.8378220279
"DRC",83,4,"obv_60",43,20084.2606627817,101,58,51301.2241795131
"DRC",83,5,"obv_60",6,994.496663704629,11,5,2624.51871702175
"DRC",83,6,"obv_60",13,3003.19396625588,27,14,6333.19176598962
"DRC",83,7,"obv_60",47,41247.8323874885,133,86,101990.11353047
"DRC",83,8,"obv_60",3,722.754250656026,7,4,1705.31603791914
"DRC",83,9,"obv_60",9,1371.08352040947,15,6,2798.0367560708
"DRC",83,10,"obv_60",91,45087.5259829123,218,127,110177.296815283
"DRC",84,1,"obv_60",2,234.306790675669,4,2,659.504353180309
"DRC",84,2,"obv_60",2,234.306790675669,4,2,659.504353180309
"DRC",84,3,"obv_60",2,234.306790675669,4,2,659.504353180309
"DRC",84,4,"obv_60",5,939.257850866942,13,8,2042.97182750909
"DRC",84,5,"obv_60",10,2258.8647665584,24,14,5023.37513788161
"DRC",84,6,"obv_60",86,17557.9614135737,220,134,48337.2171592151
"DRC",84,7,"obv_60",11,3264.70321328222,34,23,8120.87901645639
"DRC",84,8,"obv_60",82,18568.0184109792,199,117,46632.110919619
"DRC",84,9,"obv_60",87,27163.3627919879,218,131,68263.8569208657
"DRC",84,10,"obv_60",7,1154.1285943629,12,5,2170.47244208022
"DRC",85,1,"obv_60",21,12744.1348412062,58,37,32740.2658233692
"DRC",85,2,"obv_60",3,495.90222781259,12,9,2146.60456642118
"DRC",85,3,"obv_60",8,3049.85020636049,19,11,7356.16128584962
"DRC",85,4,"obv_60",3,661.355336349559,8,5,1965.9544598773
"DRC",85,5,"obv_60",52,48002.7705481715,144,92,123390.461581294
"DRC",85,6,"obv_60",19,3949.1403285722,37,18,8509.25488713205
"DRC",85,7,"obv_60",1,711.96856359832,3,2,1882.62262953904
"DRC",85,8,"obv_60",8,2013.50884388581,27,19,4954.74601954235
"DRC",85,9,"obv_60",15,8511.65397039379,28,13,17413.9567766221
"DRC",85,10,"obv_60",1,403.312539526421,13,12,1830.3216567793
"DRC",86,1,"obv_60",2,258.226340709914,6,4,849.484149103588
"DRC",86,2,"obv_60",2,258.226340709914,6,4,849.484149103588
"DRC",86,3,"obv_60",18,12427.193834948,47,29,27138.4891165199
"DRC",86,4,"obv_60",13,4331.41352308083,39,26,11369.288116738
"DRC",86,5,"obv_60",1,76.7310479157228,3,2,204.659775582875
"DRC",86,6,"obv_60",6,1345.40812253911,30,24,4784.96956894081
"DRC",86,7,"obv_60",7,1632.51245016225,14,7,2981.17465953298
"DRC",86,8,"obv_60",4,539.627694044716,6,2,909.975784911922
"DRC",86,9,"obv_60",9,4874.80885893322,43,34,16989.7457014262
"DRC",86,10,"obv_60",31,16115.9551738407,100,69,46813.4505237074
"DRC",87,1,"obv_60",12,1952.30456872056,24,12,4198.69330902761
"DRC",87,2,"obv_60",0,0,3,3,377.60458867988
"DRC",87,3,"obv_60",8,1590.25850617184,22,14,4008.04144233037
"DRC",87,4,"obv_60",11,4974.37371645992,30,19,13501.0713077709
"DRC",87,5,"obv_60",6,1939.14977566224,17,11,5413.18380408171
"DRC",87,6,"obv_60",83,53831.1152201722,167,84,117102.09664102
"DRC",87,7,"obv_60",6,1804.43729280618,21,15,4187.74551599035
"DRC",87,8,"obv_60",11,6391.62155670374,39,28,20822.7263024305
"DRC",87,9,"obv_60",2,106.71726969595,7,5,420.256479222249
"DRC",87,10,"obv_60",1,565.644984066143,12,11,3211.46928217284
"DRC",88,1,"obv_60",70,16141.1384642267,176,106,38097.3996599278
"DRC",88,2,"obv_60",3,683.745155337134,8,5,1526.72522850036
"DRC",88,3,"obv_60",6,1074.748477386,14,8,2315.43233043896
"DRC",88,4,"obv_60",7,1354.4706266543,14,7,2825.01502240509
"DRC",88,5,"obv_60",71,21666.2997812077,184,113,52183.7773649923
"DRC",88,6,"obv_60",75,24443.3353570622,200,125,77016.8702614873
"DRC",88,7,"obv_60",74,17726.4322955936,176,102,43283.1680548968
"DRC",88,8,"obv_60",69,19269.1502087703,185,116,50220.2587179579
"DRC",88,9,"obv_60",19,9399.52149883216,44,25,27716.1069968502
"DRC",88,10,"obv_60",12,1809.14845699035,21,9,3699.58871013983
"DRC",89,1,"obv_60",72,19170.0709439334,182,110,53598.7447553865
"DRC",89,2,"obv_60",45,28065.206877351,113,68,73520.4762697466
"DRC",89,3,"obv_60",17,6175.91863808479,48,31,17902.5583954189
"DRC",89,4,"obv_60",2,311.962769108425,7,5,704.68533979311
"DRC",89,5,"obv_60",2,228.449628590861,7,5,628.7362188094
"DRC",89,6,"obv_60",6,676.81091448683,15,9,2174.13947234994
"DRC",89,7,"obv_60",8,2736.85465939143,20,12,5377.9230030734
"DRC",89,8,"obv_60",4,1063.16478056368,7,3,1810.87635699879
"DRC",89,9,"obv_60",4,1063.16478056368,7,3,1810.87635699879
"DRC",89,10,"obv_60",10,4631.93118332441,26,16,10917.4292343033
"DRC",90,1,"obv_60",5,2703.62904933435,13,8,5461.6936734498
"DRC",90,2,"obv_60",7,2891.70303811814,15,8,6814.14153606853
"DRC",90,3,"obv_60",3,579.124525750696,15,12,2515.62831067887
"DRC",90,4,"obv_60",9,3989.96813421664,29,20,13809.7958398258
"DRC",90,5,"obv_60",7,1412.04050069082,16,9,3058.06820190256
"DRC",90,6,"obv_60",7,3091.01419041085,21,14,8356.7310584035
