"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",5,13000,73.8310990889572,50.1091936055017,102.350693321876,13.692891018119,7.8903085387795,31.6400864240847,0.564971858119593
"WestAfrica","A",5,14000,78.3622495745611,51.708423188656,108.614342522563,14.7135747701664,8.30001287428456,33.8377020807718,0.608431231821101
"WestAfrica","A",5,15000,83.6930148517421,53.8407292995284,114.611453459392,15.7228970103671,8.93423904452219,36.1508597390082,0.651890605522608
"WestAfrica","A",5,16000,88.224165337346,57.4389958616256,121.141640923939,16.9350153041434,9.57108277114664,37.8084489455756,0.695349979224115
"WestAfrica","A",5,17000,93.554930614527,59.7045711044275,127.538559256556,17.9979680460946,10.1975045119576,40.2590140755243,0.738809352925622
"WestAfrica","A",5,18000,98.8856958917081,60.6374550279342,133.935477589173,18.9310038795735,10.7284505515772,42.1433367080079,0.78226872662713
"WestAfrica","A",5,19000,103.150308113453,62.7697611388066,141.398548977227,19.9229193320244,11.2639006971908,44.0810918266823,0.825728100328637
"WestAfrica","A",5,20000,107.414920335198,65.4351437773971,147.662198177914,21.0391900615483,11.8485576967432,46.4503260926945,0.869187474030144
"WestAfrica","A",5,21000,111.146456029224,68.2337955479172,155.525076961756,21.8865049237757,12.4477019232466,48.342803041745,0.912646847731651
"WestAfrica","A",5,22000,114.611453459392,69.5664868672124,162.455071822092,22.9405661652137,12.9942748507253,50.3680843749311,0.956106221433158
"WestAfrica","A",5,23000,118.876065681137,71.1657164503667,169.251797550498,23.8038414787573,13.4787056958637,52.0837525806208,0.999565595134666
"WestAfrica","A",5,24000,122.874139639023,71.8320621100143,175.382177619256,24.9024384382694,14.0272457330734,53.3076527718103,1.04302496883617
"WestAfrica","A",5,25000,128.471443180063,73.2980225612391,181.512557688014,25.9032315512041,14.5401507554709,53.3076527718103,1.08648434253768
"WestAfrica","A",5,26000,130.870287554794,75.6968669359706,185.110824250111,27.0823744234917,15.1512582451469,53.3076527718103,1.12994371623919
"WestAfrica","A",5,27000,135.401438040398,77.6959039149135,191.507742582728,27.9456484865476,15.5948871495855,53.3076527718103,1.17340308994069
"WestAfrica","A",5,28000,139.932588526002,79.6949408938564,198.437737443064,28.9119426661685,16.1231124274933,53.3076527718103,1.2168624636422
"WestAfrica","A",5,29000,144.730277275465,80.0947482896449,204.701386643751,29.8630932797697,16.6703993643314,53.3076527718103,1.26032183734371
"WestAfrica","A",5,30000,145.796430330901,80.361286553504,208.965998865496,30.6421205639021,17.2333147180406,53.3076527718103,1.30378121104522
"WestAfrica","A",5,31000,148.99488949721,81.8272470047288,213.097341955312,31.5512125630501,17.7893496184405,53.3076527718103,1.34724058474672
"WestAfrica","A",5,32000,150.860657344223,84.2260913794602,221.360028134942,32.6295022989298,18.3672079966809,53.3076527718103,1.39069995844823
"WestAfrica","A",5,33000,154.059116510532,86.7582048861212,229.755983446502,33.5797939306391,18.9363609867819,53.3076527718103,1.43415933214974
"WestAfrica","A",5,34000,157.524113940699,88.7572418650641,233.487519140529,34.6133067255645,19.4390018386558,53.3076527718103,1.47761870585124
"WestAfrica","A",5,35000,159.389881787713,90.3564714482184,238.418477021921,35.4938752466817,20.0344629605745,53.3076527718103,1.52107807955275
"WestAfrica","A",5,36000,161.255649634726,93.6881997464566,244.682126222609,36.5377361860904,20.5627550615492,53.3076527718103,1.56453745325426
"WestAfrica","A",5,37000,165.520261856471,95.0208910657518,248.946738444354,37.5183132204739,21.0441076310506,53.3076527718103,1.60799682695577
"WestAfrica","A",5,38000,168.185644495061,95.820505857329,254.943849381183,38.3807536262903,21.5761466424901,53.3076527718103,1.65145620065727
"WestAfrica","A",5,39000,171.917180189088,96.2203132531176,261.873844241518,39.1946177454237,22.0358622391968,53.3076527718103,1.69491557435878
"WestAfrica","A",5,40000,176.448330674692,98.619157627849,266.80480212291,40.2350538544259,22.5822051551008,53.3076527718103,1.73837494806029
"WestAfrica","A",5,41000,181.246019424155,100.484925474862,272.53537479588,41.177570051883,23.0847061385951,53.3076527718103,1.78183432176179
"WestAfrica","A",5,42000,183.911402062745,101.15127113451,277.466332677272,42.2620499231527,23.6990160083848,53.3076527718103,1.8252936954633
"WestAfrica","A",5,43000,186.043708173618,102.883769849594,284.263058405678,43.3805702215801,24.2352002342753,53.3076527718103,1.86875306916481
"WestAfrica","A",5,44000,190.308320395363,104.482999432748,290.126900210577,44.5331309471653,24.837766515357,53.3076527718103,1.91221244286632
"WestAfrica","A",5,45000,194.572932617108,104.482999432748,295.857472883547,45.5678641480107,25.3099870249854,53.3076527718103,1.95567181656782
"WestAfrica","A",5,46000,196.971776991839,104.482999432748,298.389586390208,46.436048597055,25.7248722713377,53.3076527718103,1.99913119026933
"WestAfrica","A",5,47000,199.903697894289,104.482999432748,303.45381340353,47.2208517448551,26.2720948322182,53.3076527718103,2.04259056397084
"WestAfrica","A",5,48000,202.30254226902,104.482999432748,307.984963889134,48.1233397027616,26.8734984432031,53.3076527718103,2.08604993767235
"WestAfrica","A",5,49000,203.368695324456,104.616268564678,313.315729166315,49.1699023978892,27.4608865887464,53.3076527718103,2.12950931137385
"WestAfrica","A",5,50000,205.23446317147,105.415883356255,317.980148783848,50.2419916966237,28.0540877074475,53.3076527718103,2.17296868507536
"WestAfrica","A",5,51000,209.765613657073,107.814727730986,322.911106665241,51.0761235085783,28.6619087810423,53.3076527718103,2.21642805877687
"WestAfrica","A",5,52000,213.230611087241,108.614342522563,326.509373227338,51.9320719474081,29.2138244434891,53.3076527718103,2.25988743247837
"WestAfrica","A",5,53000,215.895993725832,108.614342522563,328.908217602069,52.9889033531795,29.7527928532262,53.3076527718103,2.30334680617988
"WestAfrica","A",5,54000,217.228685045127,109.147419050282,333.705906351532,53.3076527718103,30.4436386068601,53.3076527718103,2.34680617988139
"WestAfrica","A",5,55000,218.561376364422,109.680495578,338.103787705207,53.3076527718103,30.9243608035927,53.3076527718103,2.3902655535829
"WestAfrica","A",5,56000,219.360991155999,110.879917765365,341.435516003445,53.3076527718103,31.4588439935442,53.3076527718103,2.4337249272844
"WestAfrica","A",5,57000,219.360991155999,110.879917765365,345.56685909326,53.3076527718103,32.0040054120586,53.3076527718103,2.47718430098591
"WestAfrica","A",5,58000,219.360991155999,110.879917765365,351.963777425877,53.3076527718103,32.559030081884,53.3076527718103,2.52064367468742
