"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","baseline",44.5,"deaths",7.425,37.825,76.05,110.675,194.9375
"DRC","baseline",44.5,"hcw_deaths",15.2875,28.4,37.9,46.525,74.9875
"DRC","baseline",44.5,"hcw_deaths_incidence",0.0875,0.9,1.7,2.6,5.4375
"DRC","baseline",44.5,"infections",9.1875,51.55,106.9,151.75,313.9125
"DRC","baseline",45.5,"deaths",6.1875,33.175,64.4,95.85,174.7875
"DRC","baseline",45.5,"hcw_deaths",15.6875,29.35,39.3,48.625,78.9375
"DRC","baseline",45.5,"hcw_deaths_incidence",0.1,0.8,1.5,2.5,5.0125
"DRC","baseline",45.5,"infections",8.9625,45.1,92.05,126.025,262.2125
"DRC","baseline",46.5,"deaths",6.2625,29.625,58.3,83.875,169.3
"DRC","baseline",46.5,"hcw_deaths",16.25,30.375,41.25,51.475,82.7375
"DRC","baseline",46.5,"hcw_deaths_incidence",0,0.8,1.85,2.8,5.35
"DRC","baseline",46.5,"infections",8.075,40.35,79.05,120.9,228.725
"DRC","baseline",47.5,"deaths",4.4,25.65,51.8,72.275,145.65
"DRC","baseline",47.5,"hcw_deaths",16.9125,31.675,42.95,54.325,89.65
"DRC","baseline",47.5,"hcw_deaths_incidence",0.0875,0.975,1.85,3.025,5.85
"DRC","baseline",47.5,"infections",8.5875,37.6,69.05,111.225,185.2875
"DRC","baseline",48.5,"deaths",5.0375,23.65,44.85,67.7,135.325
"DRC","baseline",48.5,"hcw_deaths",17.3125,32.75,45.25,57.825,96.2375
"DRC","baseline",48.5,"hcw_deaths_incidence",0.1,1,1.8,2.725,5.8125
"DRC","baseline",48.5,"infections",7.25,37.15,63.55,99.775,168.4
"DRC","baseline",49.5,"deaths",4.2875,21.575,41.05,64.4,114.0375
"DRC","baseline",49.5,"hcw_deaths",17.4125,33.875,47.1,61.25,98.925
"DRC","baseline",49.5,"hcw_deaths_incidence",0.1,0.9,1.7,2.625,5.2125
"DRC","baseline",49.5,"infections",6.275,34.3,57.45,89.725,151.45
"DRC","baseline",50.5,"deaths",4.0875,20.475,34.8,56.225,96.9375
"DRC","baseline",50.5,"hcw_deaths",17.7125,34.475,49,63.025,101.6
"DRC","baseline",50.5,"hcw_deaths_incidence",0.1,0.775,1.55,2.4,4.9125
"DRC","baseline",50.5,"infections",5.8,28.45,51.1,80.325,123.0875
"DRC","baseline",51.5,"deaths",4.1875,19.975,33.2,52.325,86.3625
"DRC","baseline",51.5,"hcw_deaths",17.8625,34.875,50.65,65.075,103.9625
"DRC","baseline",51.5,"hcw_deaths_incidence",0.1,0.7,1.3,2.2,3.925
"DRC","baseline",51.5,"infections",5.275,24.9,46.65,69.65,113.0625
"DRC","baseline",52.5,"deaths",3.125,17.075,29.6,46.925,71.7375
"DRC","baseline",52.5,"hcw_deaths",18.0875,36.275,51.4,66.5,107.4
"DRC","baseline",52.5,"hcw_deaths_incidence",0.1,0.6,1.25,1.9,3.625
"DRC","baseline",52.5,"infections",3.775,23.75,41.5,63.95,107.5
"DRC","baseline",53.5,"deaths",2.4875,14.8,26.8,40.7,65.4125
"DRC","baseline",53.5,"hcw_deaths",18.0875,36.75,52.25,68.325,109.6625
"DRC","baseline",53.5,"hcw_deaths_incidence",0,0.5,1.1,1.7,2.9125
"DRC","baseline",53.5,"infections",3.4,21.825,37.45,56.275,96.625
"DRC","baseline",54.5,"deaths",2.6,13.575,24.35,36.95,58.9375
"DRC","baseline",54.5,"hcw_deaths",18.175,37.225,53.5,70.025,112.4875
"DRC","baseline",54.5,"hcw_deaths_incidence",0,0.5,0.9,1.6,2.9125
"DRC","baseline",54.5,"infections",3.3875,18.575,32.65,49.225,85.3625
"DRC","baseline",55.5,"deaths",2.35,11.675,20.7,31.85,52.4625
"DRC","baseline",55.5,"hcw_deaths",18.35,37.85,54,71.45,115.2125
"DRC","baseline",55.5,"hcw_deaths_incidence",0,0.4,0.8,1.3,2.8125
"DRC","baseline",55.5,"infections",2.5375,15.6,27.55,44.05,79.9375
"DRC","baseline",56.5,"deaths",1.8,10.625,18.4,27.975,45.825
"DRC","baseline",56.5,"hcw_deaths",18.35,38.375,54.7,72.6,115.975
"DRC","baseline",56.5,"hcw_deaths_incidence",0,0.3,0.7,1.1,2.2
"DRC","baseline",56.5,"infections",1.875,13.725,25.15,38.525,72.2875
"DRC","baseline",57.5,"deaths",1.3875,8.55,15.45,25.325,45.85
"DRC","baseline",57.5,"hcw_deaths",18.35,39.25,55.15,73.525,117.7875
"DRC","baseline",57.5,"hcw_deaths_incidence",0,0.3,0.6,1,2.1
"DRC","baseline",57.5,"infections",1.1625,12.1,22.65,34.2,67.7375
"DRC","baseline",58.5,"deaths",1.1875,7.875,14.05,22.025,40.65
"DRC","baseline",58.5,"hcw_deaths",18.35,39.775,55.4,74.25,118.5875
"DRC","baseline",58.5,"hcw_deaths_incidence",0,0.3,0.6,0.925,2.2
"DRC","baseline",58.5,"infections",0.8875,11.2,20.9,31.725,63.1125
"DRC","baseline",59.5,"deaths",1.05,6.975,12.9,19.925,38.025
"DRC","baseline",59.5,"hcw_deaths",18.4625,39.975,56.1,74.575,119.4125
"DRC","baseline",59.5,"hcw_deaths_incidence",0,0.2,0.5,0.9,2.025
"DRC","baseline",59.5,"infections",1.1625,10.275,18.65,30.125,57.3375
"DRC","baseline",60.5,"deaths",0.75,6.425,11.95,18.575,34.0125
"DRC","baseline",60.5,"hcw_deaths",18.65,40.225,57.15,75.225,120.05
"DRC","baseline",60.5,"hcw_deaths_incidence",0,0.2,0.4,0.725,1.9125
"DRC","baseline",60.5,"infections",0.7875,9,17.35,28.1,51.1125
"DRC","baseline",61.5,"deaths",0.65,5.775,10.85,17.65,31.875
"DRC","baseline",61.5,"hcw_deaths",18.825,40.575,57.75,75.6,120.5375
"DRC","baseline",61.5,"hcw_deaths_incidence",0,0.2,0.4,0.7,1.8
"DRC","baseline",61.5,"infections",0.6,8.625,16.05,26,48.225
"DRC","baseline",62.5,"deaths",0.575,5.25,9.7,15.85,28.2125
"DRC","baseline",62.5,"hcw_deaths",18.825,41.125,58.4,75.825,120.8625
"DRC","baseline",62.5,"hcw_deaths_incidence",0,0.2,0.3,0.7,1.4
"DRC","baseline",62.5,"infections",0.2875,8.3,15.4,22.4,42.45
"DRC","baseline",63.5,"deaths",0.2875,4.85,9.1,14.425,25.2125
"DRC","baseline",63.5,"hcw_deaths",18.825,41.975,58.65,76.575,121.1125
"DRC","baseline",63.5,"hcw_deaths_incidence",0,0.1,0.35,0.6,1.3
"DRC","baseline",63.5,"infections",0.2,6.75,13.75,21.4,43.175
"DRC","baseline",64.5,"deaths",0.1875,4.3,8.5,13.625,24.5375
"DRC","baseline",64.5,"hcw_deaths",18.9125,42.2,58.95,77.15,121.4875
"DRC","baseline",64.5,"hcw_deaths_incidence",0,0.1,0.3,0.6,1.3125
"DRC","baseline",64.5,"infections",0.1,6.075,12.15,19.225,40.9375
"DRC","baseline",65.5,"deaths",0.1875,4,7.6,11.5,24.4375
"DRC","baseline",65.5,"hcw_deaths",18.9125,42.525,59.3,77.525,121.65
"DRC","baseline",65.5,"hcw_deaths_incidence",0,0.1,0.3,0.5,1.1125
"DRC","baseline",65.5,"infections",0.0875,5.675,11.1,17.925,41
"DRC","baseline",66.5,"deaths",0,3.775,6.75,11.25,22.5625
"DRC","baseline",66.5,"hcw_deaths",18.9125,43,59.55,77.95,121.725
"DRC","baseline",66.5,"hcw_deaths_incidence",0,0.1,0.2,0.5,1.0125
"DRC","baseline",66.5,"infections",0,4.5,8.8,15.6,37.3375
"DRC","baseline",67.5,"deaths",0,3.1,6.3,10.125,24.075
"DRC","baseline",67.5,"hcw_deaths",18.9125,43.325,59.95,78.2,122.025
"DRC","baseline",67.5,"hcw_deaths_incidence",0,0.1,0.3,0.5,0.9125
"DRC","baseline",67.5,"infections",0,4.075,8.6,14.525,35.525
"DRC","baseline",68.5,"deaths",0,2.775,5.5,9.3,19.2625
"DRC","baseline",68.5,"hcw_deaths",18.9125,43.6,60.2,78.4,122.3875
"DRC","baseline",68.5,"hcw_deaths_incidence",0,0.1,0.2,0.4,1
"DRC","baseline",68.5,"infections",0,3.8,8.35,13.925,33.0875
"DRC","baseline",69.5,"deaths",0,2.475,4.8,8.7,20.1875
"DRC","baseline",69.5,"hcw_deaths",18.9125,43.95,60.4,79,122.6125
"DRC","baseline",69.5,"hcw_deaths_incidence",0,0,0.2,0.4,1
"DRC","baseline",69.5,"infections",0,3.7,7.8,12.225,31.0375
"DRC","baseline",70.5,"deaths",0,2.4,4.85,7.525,18.2
"DRC","baseline",70.5,"hcw_deaths",18.9125,44.275,60.6,79.8,122.8125
"DRC","baseline",70.5,"hcw_deaths_incidence",0,0,0.2,0.3,1.0125
"DRC","baseline",70.5,"infections",0,3.5,7.3,11.125,27.4125
