"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",115,"optimistic_mid",12.1,65964.3336413983,587,708,389819.166407069,82.909604519774,83.0782220768194
"DRC",115,"with_conflict_hi",68.3,350036.987913919,277,960,518911.707837172,28.8541666666667,32.5440180617863
"DRC",115,"with_conflict_lo",37.3,150380.017130415,180,553,224271.936820581,32.5497287522604,32.9474658032134
"DRC",115,"with_conflict_mid",48.7,272234.968611684,269,756,405759.380649483,35.5820105820106,32.9072890007057
"DRC",116,"cov_conflict_hi",3,497.097154927103,1,4,871.928926710272,25,42.9887987771415
"DRC",116,"cov_conflict_lo",134,114452.89272455,50,184,154470.036012479,27.1739130434783,25.9060878866478
"DRC",116,"cov_conflict_mid",22,5978.69861148114,19,41,10216.9026049686,46.3414634146341,41.4822785080322
"DRC",116,"dpc_conflict_hi",63,22118.2362657045,96,159,46644.5821260425,60.377358490566,52.581339016101
"DRC",116,"dpc_conflict_lo",18,7581.64257278448,17,35,15039.7551551241,48.5714285714286,49.5893218035442
"DRC",116,"dpc_conflict_mid",54,12254.8124199321,94,148,35570.4702877556,63.5135135135135,65.5477919724032
"DRC",116,"no_pep",73.5,108852.077366732,0,294,108852.077366732,0,0
"DRC",116,"optimistic_hi",32,8110.50308917768,139,171,45990.1625086358,81.2865497076023,82.3647000863397
"DRC",116,"optimistic_lo",3,1063.59402636868,25,28,5112.38832581733,89.2857142857143,79.1957504284725
"DRC",116,"optimistic_mid",5,1025.99479716492,6,11,2660.01557749445,54.5454545454545,61.4289929034425
"DRC",116,"with_conflict_hi",97,54500.0641610319,32,129,74134.7875495477,24.8062015503876,26.4851684850287
"DRC",116,"with_conflict_lo",29,10269.1767179544,23,52,17759.2145861533,44.2307692307692,42.175501804223
"DRC",116,"with_conflict_mid",2,444.675610597579,2,4,705.969318073281,50,37.0120486523154
"DRC",117,"cov_conflict_hi",26,91461.7244394008,126,386,131484.248545011,32.6424870466321,30.4390256235973
"DRC",117,"cov_conflict_lo",52.1,232153.693721599,196,717,324695.609155772,27.3361227336123,28.5011293114766
"DRC",117,"cov_conflict_mid",33.5,191973.279497782,203,538,300844.122476587,37.7323420074349,36.1884560291776
