"scenario","arm","week","metric","q025","q25","q50","q75","q975"
"DRC","no_pep",33.5,"hcw_deaths",2,13,28,43.25,103.025
"DRC","no_pep",33.5,"hcw_deaths_incidence",0,0,0,1,3
"DRC","no_pep",33.5,"infections",0,0,12,61.5,190
"DRC","no_pep",34.5,"deaths",0,0,7,31.5,86.125
"DRC","no_pep",34.5,"hcw_deaths",2,13,29,44,105.025
"DRC","no_pep",34.5,"hcw_deaths_incidence",0,0,0,1,4.05000000000001
"DRC","no_pep",34.5,"infections",0,0,13,77.5,256
"DRC","no_pep",35.5,"deaths",0,0,8,39,114
"DRC","no_pep",35.5,"hcw_deaths",2,13,30,44.25,106.025
"DRC","no_pep",35.5,"hcw_deaths_incidence",0,0,0,1,5
"DRC","no_pep",35.5,"infections",0,0,19.5,91.25,337
"DRC","no_pep",36.5,"deaths",0,0,9,46,142
"DRC","no_pep",36.5,"hcw_deaths",2,13,30.5,45.25,112.025
"DRC","no_pep",36.5,"hcw_deaths_incidence",0,0,0,1,5.02500000000001
"DRC","no_pep",36.5,"infections",0,0,23,107.75,337
"DRC","no_pep",37.5,"deaths",0,0,9,53,183
"DRC","no_pep",37.5,"hcw_deaths",2,13,30.5,46.25,115.05
"DRC","no_pep",37.5,"hcw_deaths_incidence",0,0,0,1,6
"DRC","no_pep",37.5,"infections",0,0,20.5,115.75,343.025
"DRC","no_pep",38.5,"deaths",0,0,13,62.5,211
"DRC","no_pep",38.5,"hcw_deaths",2,13,30.5,49,122.05
"DRC","no_pep",38.5,"hcw_deaths_incidence",0,0,0,1,6
"DRC","no_pep",38.5,"infections",0,0,29,139,420.175
"DRC","no_pep",39.5,"deaths",0,0,14.5,73.5,221
"DRC","no_pep",39.5,"hcw_deaths",2,13,32.5,49.25,126.05
"DRC","no_pep",39.5,"hcw_deaths_incidence",0,0,0,2,8
"DRC","no_pep",39.5,"infections",0,0,30,169.25,513.15
"DRC","no_pep",40.5,"deaths",0,0,17,81.5,239.7
"DRC","no_pep",40.5,"hcw_deaths",2,13,33,53,130.125
"DRC","no_pep",40.5,"hcw_deaths_incidence",0,0,0,2,9
"DRC","no_pep",40.5,"infections",0,0,36,201,576.075
"DRC","no_pep",41.5,"deaths",0,0,16.5,98.5,299.15
"DRC","no_pep",41.5,"hcw_deaths",2,13,34,56,137.075
"DRC","no_pep",41.5,"hcw_deaths_incidence",0,0,0,3,8
"DRC","no_pep",41.5,"infections",0,0,41,240.25,704.125
"DRC","no_pep",42.5,"deaths",0,0,22,120.25,351.175
"DRC","no_pep",42.5,"hcw_deaths",2,13,35.5,59.25,149.075
"DRC","no_pep",42.5,"hcw_deaths_incidence",0,0,0,3,12
"DRC","no_pep",42.5,"infections",0,0,44,261,744.775
"DRC","no_pep",43.5,"deaths",0,0,25.5,143.25,421.075
"DRC","no_pep",43.5,"hcw_deaths",2,13.75,36.5,64.25,164.05
"DRC","no_pep",43.5,"hcw_deaths_incidence",0,0,1,4,15.025
"DRC","no_pep",43.5,"infections",0,0,49.5,259.5,790.1
"DRC","no_pep",44.5,"deaths",0,0,28,175.75,507.05
"DRC","no_pep",44.5,"hcw_deaths",2,13.75,37.5,71.25,173.025
"DRC","no_pep",44.5,"hcw_deaths_incidence",0,0,0.5,4,13.05
"DRC","no_pep",44.5,"infections",0,0,40,219,627.500000000001
"DRC","no_pep",45.5,"deaths",0,0,23.5,137.5,405.3
"DRC","no_pep",45.5,"hcw_deaths",2,13.75,38.5,72.75,175.125
"DRC","no_pep",45.5,"hcw_deaths_incidence",0,0,0,3,11.05
"DRC","no_pep",45.5,"infections",0,0,30,171.75,558.875
"DRC","no_pep",46.5,"deaths",0,0,25,122.25,337.5
"DRC","no_pep",46.5,"hcw_deaths",2,13.75,41,82,175.125
"DRC","no_pep",46.5,"hcw_deaths_incidence",0,0,0,4,12.025
"DRC","no_pep",46.5,"infections",0,0,25,160.25,461.05
"DRC","no_pep",47.5,"deaths",0,0,19,108.75,318.225
"DRC","no_pep",47.5,"hcw_deaths",2,13.75,42,85.75,180.15
"DRC","no_pep",47.5,"hcw_deaths_incidence",0,0,0,5,11
"DRC","no_pep",47.5,"infections",0,0,21,146.25,408.125
"DRC","no_pep",48.5,"deaths",0,0,14.5,94,272.275
"DRC","no_pep",48.5,"hcw_deaths",2,13.75,44.5,89,183.425
"DRC","no_pep",48.5,"hcw_deaths_incidence",0,0,0,4,12.025
"DRC","no_pep",48.5,"infections",0,0,11,129,405.3
"DRC","no_pep",49.5,"deaths",0,0,13.5,84,238.075
"DRC","no_pep",49.5,"hcw_deaths",2,13.75,45,95.5,193.175
"DRC","no_pep",49.5,"hcw_deaths_incidence",0,0,0,4,11.025
"DRC","no_pep",49.5,"infections",0,0,8.5,119,383.175
"DRC","no_pep",50.5,"deaths",0,0,8.5,73.75,215
"DRC","no_pep",50.5,"hcw_deaths",2,13.75,45,100.5,200.175
"DRC","no_pep",50.5,"hcw_deaths_incidence",0,0,0,3,10
"DRC","no_pep",50.5,"infections",0,0,3,102.5,316.225
"DRC","no_pep",51.5,"deaths",0,0,6,69,216.375
"DRC","no_pep",51.5,"hcw_deaths",2,13.75,47,103,200.175
"DRC","no_pep",51.5,"hcw_deaths_incidence",0,0,0,3,10.025
"DRC","no_pep",51.5,"infections",0,0,1,91.75,288.075
"DRC","no_pep",52.5,"deaths",0,0,4,56.25,188.425
"DRC","no_pep",52.5,"hcw_deaths",2,13.75,49,107.5,206.025
"DRC","no_pep",52.5,"hcw_deaths_incidence",0,0,0,2.25,9
"DRC","no_pep",52.5,"infections",0,0,0.5,90.5,249.15
"DRC","no_pep",53.5,"deaths",0,0,2,50.25,167.125
"DRC","no_pep",53.5,"hcw_deaths",2,13.75,49.5,111.25,207.075
"DRC","no_pep",53.5,"hcw_deaths_incidence",0,0,0,2,8
"DRC","no_pep",53.5,"infections",0,0,0,76,255.225
"DRC","no_pep",54.5,"deaths",0,0,0,49,139.05
"DRC","no_pep",54.5,"hcw_deaths",2,13.75,49.5,118,207.075
"DRC","no_pep",54.5,"hcw_deaths_incidence",0,0,0,2,8
"DRC","no_pep",54.5,"infections",0,0,0,64,231.15
"DRC","no_pep",55.5,"deaths",0,0,0,42.25,137.025
"DRC","no_pep",55.5,"hcw_deaths",2,13.75,49.5,120.5,210.025
"DRC","no_pep",55.5,"hcw_deaths_incidence",0,0,0,1,6.02500000000001
"DRC","no_pep",55.5,"infections",0,0,0,54,192.475
"DRC","no_pep",56.5,"deaths",0,0,0,37,132.025
"DRC","no_pep",56.5,"hcw_deaths",2,13.75,49.5,122.25,210.05
"DRC","no_pep",56.5,"hcw_deaths_incidence",0,0,0,1,6
"DRC","no_pep",56.5,"infections",0,0,0,46.5,170
"DRC","no_pep",57.5,"deaths",0,0,0,33.25,111.05
"DRC","no_pep",57.5,"hcw_deaths",2,13.75,49.5,125,210.05
"DRC","no_pep",57.5,"hcw_deaths_incidence",0,0,0,1,5
"DRC","no_pep",57.5,"infections",0,0,0,41.75,153.225
"DRC","no_pep",58.5,"deaths",0,0,0,25,92.05
"DRC","no_pep",58.5,"hcw_deaths",2,13.75,49.5,127.5,212
"DRC","no_pep",58.5,"hcw_deaths_incidence",0,0,0,1,6
"DRC","no_pep",58.5,"infections",0,0,0,40,163.05
"DRC","no_pep",59.5,"deaths",0,0,0,25.25,89.075
"DRC","no_pep",59.5,"hcw_deaths",2,13.75,49.5,130.5,212.125
"DRC","no_pep",59.5,"hcw_deaths_incidence",0,0,0,1,5.02500000000001
"DRC","no_pep",59.5,"infections",0,0,0,31.25,152.2
"DRC","no_pep",60.5,"deaths",0,0,0,23.25,86.075
"DRC","no_pep",60.5,"hcw_deaths",2,13.75,49.5,134.75,212.125
"DRC","no_pep",60.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",60.5,"infections",0,0,0,30.25,160.1
"DRC","no_pep",61.5,"deaths",0,0,0,21.25,86.075
"DRC","no_pep",61.5,"hcw_deaths",2,13.75,49.5,135.5,212.125
"DRC","no_pep",61.5,"hcw_deaths_incidence",0,0,0,1,4
"DRC","no_pep",61.5,"infections",0,0,0,25.25,142.05
"DRC","no_pep",62.5,"deaths",0,0,0,17.25,80.175
