"scenario","particle_id","ppe_efficacy"
"DRC",74,0.601348187793552
"DRC",75,0.629484400677204
"DRC",76,0.441460293799374
"DRC",77,0.386309403811551
"DRC",78,0.391123327735577
"DRC",79,0.601348187793552
"DRC",80,0.795530427894859
"DRC",81,0.589001041718348
"DRC",82,0.757636552296294
"DRC",83,0.601348187793552
"DRC",84,0.734793149493635
"DRC",85,0.432642065361142
"DRC",86,0.347246702400967
"DRC",87,0.7369666592973
"DRC",88,0.66381823519728
"DRC",89,0.556277139583657
"DRC",90,0.347246702400967
"DRC",91,0.741259243071458
"DRC",92,0.820892839992742
"DRC",93,0.556277139583657
"DRC",94,0.820892839992742
"DRC",95,0.66381823519728
"DRC",96,0.424047535484791
"DRC",97,0.519232448221735
"DRC",98,0.504399099102755
"DRC",99,0.606776629688247
"DRC",100,0.446952094728609
"DRC",101,0.772741378913066
"DRC",102,0.76428081785052
"DRC",103,0.441460293799374
"DRC",104,0.744739521205731
"DRC",105,0.601348187793552
"DRC",106,0.693359336159924
"DRC",107,0.467837847118366
"DRC",108,0.582712561228859
"DRC",109,0.734793149493635
"DRC",110,0.619132343342491
"DRC",111,0.629484400677204
"DRC",112,0.795530427894859
"DRC",113,0.467837847118366
"DRC",114,0.597531908760057
"DRC",115,0.601348187793552
"DRC",116,0.441460293799374
"DRC",117,0.348938862327486
"DRC",118,0.817459272081033
"DRC",119,0.467837847118366
"DRC",120,0.629484400677204
"DRC",121,0.827573386229451
"DRC",122,0.629484400677204
"DRC",123,0.892508224278437
"DRC",124,0.463657838913946
"DRC",125,0.485387491419457
"DRC",126,0.575758621395363
"DRC",127,0.792338905341752
"DRC",128,0.582712561228859
"DRC",129,0.608757760899499
"DRC",130,0.347246702400967
"DRC",131,0.522288840094644
"DRC",132,0.601348187793552
"DRC",133,0.424047535484791
"DRC",134,0.734793149493635
"DRC",135,0.446952094728609
"DRC",136,0.347246702400967
"DRC",137,0.347161941341499
"DRC",138,0.306552536542553
"DRC",139,0.766918257573897
"DRC",140,0.606776629688247
"DRC",141,0.391123327735577
"DRC",142,0.33794254096245
"DRC",143,0.899212776660234
"DRC",144,0.734793149493635
"DRC",145,0.785171791758489
"DRC",146,0.770278569902007
"DRC",147,0.556277139583657
"DRC",148,0.619132343342491
"DRC",149,0.827573386229451
"DRC",150,0.335177951458708
"DRC",151,0.488542573716507
"DRC",152,0.884957170896858
"DRC",153,0.556277139583657
"DRC",154,0.841978315290164
"DRC",155,0.424047535484791
"DRC",156,0.347246702400967
"DRC",157,0.848796901199967
"DRC",158,0.601348187793552
"DRC",159,0.734793149493635
"DRC",160,0.347246702400967
"DRC",161,0.789069152945415
"DRC",162,0.827573386229451
"DRC",163,0.601348187793552
"DRC",164,0.629484400677204
"DRC",165,0.588839024463126
"DRC",166,0.492560999975733
"DRC",167,0.66381823519728
"DRC",168,0.467837847118366
"DRC",169,0.606172861235612
"DRC",170,0.629484400677204
"DRC",171,0.66381823519728
"DRC",172,0.599911432808834
"DRC",173,0.734793149493635
"DRC",174,0.580479825150031
"DRC",175,0.434368759022285
"DRC",176,0.750057956052084
"DRC",177,0.76428081785052
"DRC",178,0.424047535484791
"DRC",179,0.629484400677204
"DRC",180,0.584197413042506
"DRC",181,0.770278569902007
"DRC",182,0.629484400677204
"DRC",183,0.458841736524795
"DRC",184,0.509904861167903
"DRC",185,0.446952094728609
"DRC",186,0.347246702400967
"DRC",187,0.584197413042506
"DRC",188,0.697020615673587
"DRC",189,0.438773581382372
"DRC",190,0.608757760899499
"DRC",191,0.876081627260735
"DRC",192,0.432642065361142
"DRC",193,0.556277139583657
"DRC",194,0.488542573716507
"DRC",195,0.597531908760057
"DRC",196,0.66381823519728
"DRC",197,0.601348187793552
"DRC",198,0.556277139583657
"DRC",199,0.352938225650796
"DRC",200,0.424047535484791
