"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi"
"DRC","A",0,3040,18.1153140630778,9.88108039804245,29.6432411941273
"DRC","A",0,3060,18.1153140630778,9.88108039804245,29.6432411941273
"DRC","A",0,3080,18.1153140630778,9.88108039804245,29.6432411941273
"DRC","A",0,3100,18.1153140630778,9.88108039804245,29.6432411941273
"DRC","A",0,3120,18.1153140630778,9.88108039804245,30.4666645606309
"DRC","A",0,3140,18.5270257463296,9.88108039804245,30.4666645606309
"DRC","A",0,3160,18.9387374295814,9.88108039804245,30.4666645606309
"DRC","A",0,3180,18.9387374295814,9.88108039804245,30.4666645606309
"DRC","A",0,3200,18.9387374295814,9.88108039804245,30.4666645606309
"DRC","A",0,3220,18.9387374295814,9.88108039804245,31.2900879271344
"DRC","A",0,3240,18.9387374295814,9.88108039804245,31.2900879271344
"DRC","A",0,3260,18.9387374295814,9.88108039804245,31.2900879271344
"DRC","A",0,3280,18.9387374295814,9.88108039804245,31.2900879271344
"DRC","A",0,3300,18.9387374295814,9.88108039804245,31.2900879271344
"DRC","A",0,3320,18.9387374295814,9.88108039804245,32.1135112936379
"DRC","A",0,3340,18.9387374295814,9.88108039804245,32.1135112936379
"DRC","A",0,3360,18.9387374295814,9.88108039804245,32.1135112936379
"DRC","A",0,3380,18.9387374295814,9.88108039804245,32.1135112936379
"DRC","A",0,3400,19.3504491128331,9.88108039804245,32.1135112936379
"DRC","A",0,3420,19.7621607960849,9.88108039804245,32.1135112936379
"DRC","A",0,3440,19.7621607960849,9.88108039804245,32.3193671352638
"DRC","A",0,3460,19.7621607960849,9.88108039804245,32.9369346601415
"DRC","A",0,3480,19.7621607960849,9.88108039804245,32.9369346601415
"DRC","A",0,3500,19.7621607960849,9.88108039804245,32.9369346601415
"DRC","A",0,3520,19.7621607960849,9.88108039804245,33.760358026645
"DRC","A",0,3540,19.7621607960849,9.88108039804245,33.760358026645
"DRC","A",0,3560,19.7621607960849,10.704503764546,33.760358026645
"DRC","A",0,3580,19.7621607960849,10.704503764546,33.760358026645
"DRC","A",0,3600,19.7621607960849,10.704503764546,33.760358026645
"DRC","A",0,3620,19.7621607960849,10.704503764546,33.760358026645
"DRC","A",0,3640,19.7621607960849,10.704503764546,33.760358026645
"DRC","A",0,3660,19.7621607960849,10.704503764546,34.5837813931486
"DRC","A",0,3680,19.7621607960849,10.704503764546,34.5837813931486
"DRC","A",0,3700,20.1738724793367,10.704503764546,34.5837813931486
"DRC","A",0,3720,20.5855841625884,10.704503764546,34.5837813931486
"DRC","A",0,3740,20.5855841625884,10.704503764546,34.5837813931486
"DRC","A",0,3760,20.5855841625884,10.704503764546,34.7896372347744
"DRC","A",0,3780,20.5855841625884,10.704503764546,35.4072047596521
"DRC","A",0,3800,20.5855841625884,10.704503764546,35.4072047596521
"DRC","A",0,3820,20.5855841625884,10.704503764546,35.4072047596521
"DRC","A",0,3840,20.5855841625884,10.704503764546,35.4072047596521
"DRC","A",0,3860,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3880,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3900,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3920,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3940,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3960,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,3980,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,4000,20.5855841625884,10.704503764546,36.2306281261556
"DRC","A",0,4020,20.5855841625884,10.704503764546,37.0540514926592
"DRC","A",0,4040,20.9972958458402,10.704503764546,37.0540514926592
"DRC","A",0,4060,21.409007529092,10.704503764546,37.0540514926592
"DRC","A",0,4080,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4100,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4120,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4140,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4160,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4180,21.409007529092,10.704503764546,37.8774748591627
"DRC","A",0,4200,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4220,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4240,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4260,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4280,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4300,21.409007529092,10.704503764546,38.7008982256662
"DRC","A",0,4320,21.409007529092,10.704503764546,38.9067540672921
"DRC","A",0,4340,21.409007529092,10.704503764546,39.5243215921698
"DRC","A",0,4360,21.409007529092,10.704503764546,39.5243215921698
"DRC","A",0,4380,21.8207192123437,10.704503764546,39.5243215921698
"DRC","A",0,4400,22.2324308955955,10.704503764546,39.5243215921698
"DRC","A",0,4420,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4440,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4460,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4480,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4500,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4520,22.2324308955955,10.704503764546,40.3477449586733
"DRC","A",0,4540,22.2324308955955,10.704503764546,41.1711683251769
"DRC","A",0,4560,22.2324308955955,10.704503764546,41.1711683251769
"DRC","A",0,4580,22.2324308955955,10.704503764546,41.1711683251769
"DRC","A",0,4600,22.2324308955955,10.704503764546,41.1711683251769
"DRC","A",0,4620,22.2324308955955,10.704503764546,41.1711683251769
"DRC","A",0,4640,22.2324308955955,10.704503764546,41.9945916916804
