"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",5,"dpc_conflict_lo",16.5,36393.4043908511,71,236,51321.5403961449,30.0847457627119,29.0874667635955
"DRC",5,"dpc_conflict_mid",24.5,123272.114644442,164,409,206845.12284784,40.0977995110024,40.4036638876307
"DRC",5,"no_pep",39.9,174336.283823256,0,399,174336.283823256,0,0
"DRC",5,"optimistic_hi",3.7,13373.861131448,183,220,72281.1278417026,83.1818181818182,81.4974371170065
"DRC",5,"optimistic_lo",4.7,18354.8484971027,246,293,124799.794681881,83.9590443686007,85.2925651489333
"DRC",5,"optimistic_mid",11.5,51428.3214843645,564,679,292200.95509502,83.0633284241532,82.3996737219286
"DRC",5,"with_conflict_hi",36.2,135244.686024872,167,529,198666.74562848,31.5689981096408,31.9238428167599
"DRC",5,"with_conflict_lo",54.6,303379.76937884,213,759,413527.065907919,28.0632411067194,26.6360549550112
"DRC",5,"with_conflict_mid",22.6,90324.0669224376,132,358,148296.848910178,36.8715083798883,39.0923896318621
"DRC",6,"cov_conflict_hi",14.3,72947.6641924537,86,229,103111.53646849,37.5545851528384,29.2536347620562
"DRC",6,"cov_conflict_lo",56.6,295992.623186307,205,771,403446.697561695,26.5888456549935,26.6340200638168
"DRC",6,"cov_conflict_mid",50,232166.02435111,169,669,324253.469055085,25.2615844544096,28.3998333070514
"DRC",6,"dpc_conflict_hi",28.2,134474.739675709,391,673,318406.850912101,58.0980683506686,57.7663799348237
"DRC",6,"dpc_conflict_lo",72.4,272887.68447589,277,1001,377499.140521008,27.6723276723277,27.7117070785216
"DRC",6,"dpc_conflict_mid",42.9,258124.820425926,401,830,486836.011853561,48.3132530120482,46.979102995452
"DRC",6,"no_pep",123.6,469920.403042532,0,1236,469920.403042532,0,0
"DRC",6,"optimistic_hi",7.4,47575.3834890837,400,474,277205.963182366,84.3881856540084,82.8375324459434
"DRC",6,"optimistic_lo",7.9,31416.8724055971,421,500,183827.428289619,84.2,82.9095838972952
"DRC",6,"optimistic_mid",18.2,98492.4633788098,770,952,504885.585899363,80.8823529411765,80.4921221501376
"DRC",6,"with_conflict_hi",38.5,240168.038671865,243,628,372296.296160978,38.6942675159236,35.4900811132384
