"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted","arm_label","scenario_label"
"WestAfrica",134,"obv_70",133.6,377993.943542918,3030,4366,1240478.64698567,69.3999083829592,69.5283796733274,"70%","West Africa (Worst)"
"WestAfrica",134,"obv_80",117.6,462936.001096016,4868,6044,2294756.08997499,80.5426869622766,79.8263526516641,"80%","West Africa (Worst)"
"WestAfrica",134,"obv_90",36.3,138168.345863338,3449,3812,1378566.65434548,90.4774396642183,89.9773909786801,"90%","West Africa (Worst)"
"WestAfrica",137,"obv_50",149.2,549896.047934393,1454,2946,1093744.54294689,49.3550577053632,49.7235390585079,"50%","West Africa (Worst)"
"WestAfrica",137,"obv_60",227.8,874657.960408248,3381,5659,2148700.72291851,59.745538080933,59.2936349358029,"60%","West Africa (Worst)"
"WestAfrica",137,"obv_70",125.1,327946.935847786,2982,4233,1125323.18473433,70.446491849752,70.8575331694414,"70%","West Africa (Worst)"
"WestAfrica",137,"obv_80",128.3,510600.396346332,5109,6392,2596213.70652767,79.9280350438048,80.3328826489696,"80%","West Africa (Worst)"
"WestAfrica",137,"obv_90",36.2,152504.574060495,3288,3650,1551352.74666056,90.0821917808219,90.1695746251923,"90%","West Africa (Worst)"
"WestAfrica",138,"obv_50",311.4,1227861.52584182,3122,6236,2479407.19760654,50.0641436818473,50.4776171083507,"50%","West Africa (Worst)"
"WestAfrica",138,"obv_60",302.7,1287828.03337003,4683,7710,3292590.00526426,60.7392996108949,60.8870818622718,"60%","West Africa (Worst)"
"WestAfrica",138,"obv_70",213.8,801599.261287771,5016,7154,2666663.40893321,70.1146211909421,69.9399909788972,"70%","West Africa (Worst)"
"WestAfrica",138,"obv_80",105.8,439636.010692931,4196,5254,2228193.50168283,79.8629615531024,80.2693971434304,"80%","West Africa (Worst)"
"WestAfrica",138,"obv_90",55.8,186165.990959826,4608,5166,1791883.1016481,89.198606271777,89.6105950891217,"90%","West Africa (Worst)"
"WestAfrica",141,"obv_50",159.6,637318.36023496,1597,3193,1269872.38396606,50.0156592546195,49.8124088465891,"50%","West Africa (Worst)"
"WestAfrica",141,"obv_60",167.8,613417.946880134,2371,4049,1458275.78390496,58.5576685601383,57.9353950980708,"60%","West Africa (Worst)"
"WestAfrica",141,"obv_70",101.4,344304.218708377,2443,3457,1166403.23923277,70.6682094301417,70.4815447070559,"70%","West Africa (Worst)"
"WestAfrica",141,"obv_80",92.6,337234.690818802,3865,4791,1722770.81448704,80.6720935086621,80.4248662687489,"80%","West Africa (Worst)"
"WestAfrica",141,"obv_90",33.3,122424.514623931,2934,3267,1214273.78872093,89.8071625344353,89.9178821316,"90%","West Africa (Worst)"
"WestAfrica",142,"obv_50",195.1,699880.574490401,1984,3935,1404271.48669226,50.4193138500635,50.1605935089546,"50%","West Africa (Worst)"
"WestAfrica",142,"obv_60",126.7,414260.422398985,1909,3176,1033322.90239742,60.1070528967254,59.9098770154175,"60%","West Africa (Worst)"
"WestAfrica",142,"obv_70",47.5,167093.241081236,1089,1564,554707.30154428,69.6291560102302,69.8772234264709,"70%","West Africa (Worst)"
"WestAfrica",142,"obv_80",49.5,200075.384390981,2241,2736,1057401.80831043,81.9078947368421,81.0785849978192,"80%","West Africa (Worst)"
"WestAfrica",142,"obv_90",28.9,116265.49034681,2600,2889,1143739.08028755,89.9965385946694,89.8346141746263,"90%","West Africa (Worst)"
"WestAfrica",143,"obv_50",162.5,670972.592118719,1626,3251,1354623.75205259,50.0153798831129,50.467973774856,"50%","West Africa (Worst)"
"WestAfrica",143,"obv_60",78.4,293200.681506073,1139,1923,739557.990790289,59.2303692147686,60.35460570269,"60%","West Africa (Worst)"
"WestAfrica",143,"obv_70",80.4,317658.260341902,1809,2613,1045107.77094139,69.2307692307692,69.6052149668957,"70%","West Africa (Worst)"
"WestAfrica",143,"obv_80",83.1,366479.56690675,3423,4254,1866595.62933425,80.4654442877292,80.3664188886234,"80%","West Africa (Worst)"
"WestAfrica",143,"obv_90",27,114736.818235607,2380,2650,1131972.54356122,89.811320754717,89.863992824893,"90%","West Africa (Worst)"
"WestAfrica",145,"obv_50",354.4,805691.726294312,3433,6977,1586614.93191279,49.2045291672639,49.2194539400314,"50%","West Africa (Worst)"
"WestAfrica",145,"obv_60",304.8,1018371.37048524,4542,7590,2494242.57665557,59.8418972332016,59.1711175161347,"60%","West Africa (Worst)"
"WestAfrica",145,"obv_70",222.3,711792.392272978,5057,7280,2352910.6255012,69.4642857142857,69.7484305371201,"70%","West Africa (Worst)"
"WestAfrica",145,"obv_80",149,474965.535397403,6101,7591,2396766.10705922,80.3714925569754,80.183066925117,"80%","West Africa (Worst)"
"WestAfrica",145,"obv_90",64.7,265523.241899618,5673,6320,2615367.82414293,89.7626582278481,89.8475755704982,"90%","West Africa (Worst)"
"WestAfrica",146,"obv_50",424.4,1055445.0672975,4394,8638,2134448.81334663,50.8682565408659,50.551867971823,"50%","West Africa (Worst)"
"WestAfrica",146,"obv_60",325.5,786335.441240898,5072,8327,2000834.44572115,60.9102918217846,60.6996249528539,"60%","West Africa (Worst)"
